Study Type,Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
non-ablation,inceptionv3,dog,pool,Baseline,None,30,10,78.54,0.38,78.07,79.4,14.21,0.0
non-ablation,inceptionv3,dog,pool,tafe,0.0,30,10,78.28,0.46,77.38,79.0,16.36,0.0
non-ablation,inceptionv3,dog,pool,tafe,1e-45,30,10,78.5,0.37,77.7,79.0,14.29,4.2
non-ablation,inceptionv3,dog,pool,tafe,1e-25,30,10,78.62,0.36,78.12,79.27,13.19,12.11
non-ablation,inceptionv3,dog,pool,tafe,1e-15,30,10,78.61,0.26,78.24,79.08,13.79,20.9
non-ablation,inceptionv3,dog,pool,tafe,1e-05,30,10,79.62,0.27,79.05,79.96,10.12,68.55
non-ablation,xception,dog,pool,Baseline,None,30,10,79.38,0.26,78.86,79.76,13.13,0.0
non-ablation,xception,dog,pool,tafe,0.0,30,10,79.45,0.25,79.0,79.89,14.41,0.83
non-ablation,xception,dog,pool,tafe,1e-45,30,10,79.5,0.38,78.86,79.96,15.03,0.88
non-ablation,xception,dog,pool,tafe,1e-25,30,10,79.43,0.42,78.39,79.89,14.7,2.64
non-ablation,xception,dog,pool,tafe,1e-15,30,10,79.51,0.19,79.15,79.79,13.61,6.69
non-ablation,xception,dog,pool,tafe,1e-05,30,10,79.63,0.45,78.86,80.3,12.89,20.8
non-ablation,densenet201,dog,pool,Baseline,None,30,10,79.64,0.38,78.9,80.11,21.36,0.0
non-ablation,densenet201,dog,pool,tafe,0.0,30,10,79.83,0.33,79.17,80.26,20.56,0.0
non-ablation,densenet201,dog,pool,tafe,1e-45,30,10,79.65,0.38,78.98,80.28,19.83,26.67
non-ablation,densenet201,dog,pool,tafe,1e-25,30,10,79.38,0.35,78.63,79.96,19.3,40.68
non-ablation,densenet201,dog,pool,tafe,1e-15,30,10,78.78,0.27,78.27,79.22,16.62,53.49
non-ablation,densenet201,dog,pool,tafe,1e-05,30,10,75.43,0.39,74.75,76.03,14.49,77.81
ablation,inceptionv3,dog,pool,Baseline,None,30,10,78.19,0.41,77.6,78.78,9.81,0.0
ablation,inceptionv3,dog,pool,tafe,0.0,30,10,78.33,0.41,77.65,79.05,11.55,0.0
ablation,inceptionv3,dog,pool,tafe,1e-45,30,10,1.45,0.36,1.13,2.19,10.55,4.2
ablation,inceptionv3,dog,pool,tafe,1e-25,30,10,2.56,0.43,1.67,3.32,9.43,12.11
ablation,inceptionv3,dog,pool,tafe,1e-15,30,10,2.73,0.54,1.96,3.73,8.68,20.9
ablation,inceptionv3,dog,pool,tafe,1e-05,30,10,0.86,0.17,0.59,1.15,5.14,68.55
ablation,xception,dog,pool,Baseline,None,30,10,79.31,0.19,79.05,79.74,12.52,0.0
ablation,xception,dog,pool,tafe,0.0,30,10,31.68,2.41,27.19,35.31,13.52,0.83
ablation,xception,dog,pool,tafe,1e-45,30,10,57.77,1.87,54.3,59.8,12.93,0.88
ablation,xception,dog,pool,tafe,1e-25,30,10,17.79,0.96,15.79,19.25,13.58,2.64
ablation,xception,dog,pool,tafe,1e-15,30,10,0.62,0.27,0.25,1.18,11.07,6.69
ablation,xception,dog,pool,tafe,1e-05,30,10,4.33,0.39,3.83,4.91,9.48,20.8
ablation,densenet201,dog,pool,Baseline,None,30,10,79.96,0.43,79.35,80.48,17.13,0.0
ablation,densenet201,dog,pool,tafe,0.0,30,10,79.65,0.45,78.95,80.16,15.4,0.0
ablation,densenet201,dog,pool,tafe,1e-45,30,10,1.72,0.29,1.23,2.31,9.43,26.67
ablation,densenet201,dog,pool,tafe,1e-25,30,10,5.15,0.47,4.54,6.09,12.06,40.68
ablation,densenet201,dog,pool,tafe,1e-15,30,10,1.25,0.22,0.71,1.55,10.23,53.49
ablation,densenet201,dog,pool,tafe,1e-05,30,10,0.7,0.13,0.54,0.96,4.28,77.81
