Study Type,Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
Ablation,inceptionv3,bird,pool,Baseline,None,30,10,48.8,1.06,47.65,51.27,21.85,0.0
Ablation,inceptionv3,bird,pool,tafe,0.0,30,10,48.85,0.94,47.18,50.24,23.17,0.0
Ablation,inceptionv3,bird,pool,tafe,1e-45,30,10,0.87,0.22,0.6,1.21,9.52,25.63
Ablation,inceptionv3,bird,pool,tafe,1e-35,30,10,0.73,0.23,0.39,1.12,9.52,40.48
Ablation,inceptionv3,bird,pool,tafe,1e-25,30,10,0.49,0.08,0.43,0.69,6.58,53.47
Ablation,inceptionv3,bird,pool,tafe,1e-15,30,10,0.88,0.31,0.39,1.25,7.56,66.31
Ablation,inceptionv3,bird,pool,tafe,1e-05,30,10,0.74,0.18,0.39,1.03,5.67,86.18
Ablation,inceptionv3,bird,pool,tafe,0.01,30,10,0.44,0.08,0.34,0.6,4.67,95.21
Ablation,inceptionv3,bird,pool,tafe,0.05,30,10,0.54,0.08,0.43,0.65,3.92,96.97
Non-ablation,inceptionv3,bird,pool,Baseline,None,30,10,49.04,1.07,47.48,51.1,21.27,0.0
Non-ablation,inceptionv3,bird,pool,tafe,0.0,30,10,50.07,1.1,47.91,51.92,27.29,0.0
Non-ablation,inceptionv3,bird,pool,tafe,1e-45,30,10,50.1,1.06,48.13,51.23,21.22,25.63
Non-ablation,inceptionv3,bird,pool,tafe,1e-35,30,10,51.07,1.31,48.26,52.65,17.6,40.48
Non-ablation,inceptionv3,bird,pool,tafe,1e-25,30,10,51.0,1.27,47.91,52.22,15.71,53.47
Non-ablation,inceptionv3,bird,pool,tafe,1e-15,30,10,50.88,0.93,48.86,52.04,13.49,66.31
Non-ablation,inceptionv3,bird,pool,tafe,1e-05,30,10,48.77,0.73,47.57,49.63,13.37,86.18
Non-ablation,inceptionv3,bird,pool,tafe,0.01,30,10,41.42,0.47,40.51,42.23,12.54,95.21
Non-ablation,inceptionv3,bird,pool,tafe,0.05,30,10,36.31,0.51,34.91,36.81,12.91,96.97
