Study Type,Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
Ablation,inceptionv3,dog,pool,Baseline,None,30,10,76.74,0.4,75.64,77.09,25.13,0.0
Ablation,inceptionv3,dog,pool,tafe,0.0,30,10,76.97,0.5,76.25,77.73,24.51,0.0
Ablation,inceptionv3,dog,pool,tafe,1e-45,30,10,1.36,0.4,0.83,2.06,19.34,4.2
Ablation,inceptionv3,dog,pool,tafe,1e-35,30,10,3.71,0.52,3.0,4.59,19.31,7.08
Ablation,inceptionv3,dog,pool,tafe,1e-25,30,10,0.75,0.27,0.2,1.08,15.31,12.11
Ablation,inceptionv3,dog,pool,tafe,1e-15,30,10,5.5,0.92,4.27,7.02,17.98,20.9
Ablation,inceptionv3,dog,pool,tafe,1e-05,30,10,1.21,0.29,0.79,1.94,11.66,68.55
Ablation,inceptionv3,dog,pool,tafe,0.01,30,10,0.75,0.31,0.27,1.35,11.94,87.35
Ablation,inceptionv3,dog,pool,tafe,0.05,30,10,0.89,0.16,0.66,1.25,7.36,90.97
Non-ablation,inceptionv3,dog,pool,Baseline,None,30,10,76.96,0.39,76.4,77.58,24.24,0.0
Non-ablation,inceptionv3,dog,pool,tafe,0.0,30,10,76.79,0.55,75.64,77.55,20.88,0.0
Non-ablation,inceptionv3,dog,pool,tafe,1e-45,30,10,76.9,0.72,75.74,78.17,24.25,4.2
Non-ablation,inceptionv3,dog,pool,tafe,1e-35,30,10,77.26,0.5,76.03,77.75,25.19,7.08
Non-ablation,inceptionv3,dog,pool,tafe,1e-25,30,10,76.87,0.31,76.33,77.41,20.73,12.11
Non-ablation,inceptionv3,dog,pool,tafe,1e-15,30,10,76.8,0.45,75.86,77.41,20.35,20.9
Non-ablation,inceptionv3,dog,pool,tafe,1e-05,30,10,77.38,0.4,76.5,77.9,14.77,68.55
Non-ablation,inceptionv3,dog,pool,tafe,0.01,30,10,75.78,0.32,75.22,76.15,13.73,87.35
Non-ablation,inceptionv3,dog,pool,tafe,0.05,30,10,74.9,0.31,74.29,75.52,11.64,90.97
