Study Type,Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
Ablation,inceptionv3,mit67,pool,Baseline,None,30,10,59.02,1.07,57.46,60.52,23.68,0.0
Ablation,inceptionv3,mit67,pool,tafe,0.0,30,10,57.52,1.52,54.23,60.2,18.26,0.0
Ablation,inceptionv3,mit67,pool,tafe,1e-45,30,10,43.71,3.06,38.73,48.35,15.98,0.2
Ablation,inceptionv3,mit67,pool,tafe,1e-35,30,10,7.5,2.33,3.65,11.52,17.38,0.54
Ablation,inceptionv3,mit67,pool,tafe,1e-25,30,10,3.68,0.96,1.9,5.1,14.89,1.86
Ablation,inceptionv3,mit67,pool,tafe,1e-15,30,10,3.8,1.18,2.07,6.07,14.95,7.62
Ablation,inceptionv3,mit67,pool,tafe,1e-05,30,10,3.12,0.65,2.0,4.0,11.36,40.38
Ablation,inceptionv3,mit67,pool,tafe,0.01,30,10,3.15,0.65,1.65,3.87,8.35,78.47
Ablation,inceptionv3,mit67,pool,tafe,0.05,30,10,3.56,0.79,2.29,4.91,8.06,84.86
Non-ablation,inceptionv3,mit67,pool,Baseline,None,30,10,57.17,2.41,51.58,59.94,17.66,0.0
Non-ablation,inceptionv3,mit67,pool,tafe,0.0,30,10,58.37,0.99,56.52,59.85,20.27,0.0
Non-ablation,inceptionv3,mit67,pool,tafe,1e-45,30,10,56.55,3.08,51.74,61.52,17.75,0.2
Non-ablation,inceptionv3,mit67,pool,tafe,1e-35,30,10,58.2,1.31,55.71,60.52,21.43,0.54
Non-ablation,inceptionv3,mit67,pool,tafe,1e-25,30,10,57.69,1.81,55.0,60.26,18.19,1.86
Non-ablation,inceptionv3,mit67,pool,tafe,1e-15,30,10,56.4,1.9,52.74,58.97,15.41,7.62
Non-ablation,inceptionv3,mit67,pool,tafe,1e-05,30,10,58.11,1.07,56.46,59.55,14.93,40.38
Non-ablation,inceptionv3,mit67,pool,tafe,0.01,30,10,57.25,1.28,55.04,59.36,9.47,78.47
Non-ablation,inceptionv3,mit67,pool,tafe,0.05,30,10,56.4,0.86,55.36,58.07,8.67,84.86
