Study Type,Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
Ablation,inceptionv3,stl10,pool,Baseline,None,30,10,92.78,0.43,91.92,93.38,13.24,0.0
Ablation,inceptionv3,stl10,pool,tafe,0.0,30,10,91.93,0.62,91.08,93.15,11.1,0.0
Ablation,inceptionv3,stl10,pool,tafe,1e-45,30,10,16.94,2.13,12.08,20.58,10.4,23.34
Ablation,inceptionv3,stl10,pool,tafe,1e-35,30,10,9.93,1.4,8.15,13.15,11.0,27.25
Ablation,inceptionv3,stl10,pool,tafe,1e-25,30,10,12.52,1.52,9.46,14.27,8.34,33.25
Ablation,inceptionv3,stl10,pool,tafe,1e-15,30,10,13.12,1.64,10.38,15.81,9.83,42.53
Ablation,inceptionv3,stl10,pool,tafe,1e-05,30,10,11.53,0.85,10.12,13.08,5.63,72.31
Ablation,inceptionv3,stl10,pool,tafe,0.01,30,10,10.34,1.06,8.04,12.0,5.44,90.53
Ablation,inceptionv3,stl10,pool,tafe,0.05,30,10,13.67,0.61,12.58,14.73,3.5,94.63
Non-ablation,inceptionv3,stl10,pool,Baseline,None,30,10,92.42,0.91,90.08,93.42,10.7,0.0
Non-ablation,inceptionv3,stl10,pool,tafe,0.0,30,10,92.8,0.64,91.15,93.54,11.71,0.0
Non-ablation,inceptionv3,stl10,pool,tafe,1e-45,30,10,92.53,0.39,91.96,93.08,9.47,23.34
Non-ablation,inceptionv3,stl10,pool,tafe,1e-35,30,10,92.48,0.45,91.81,93.35,11.17,27.25
Non-ablation,inceptionv3,stl10,pool,tafe,1e-25,30,10,92.35,0.47,91.19,93.08,11.58,33.25
Non-ablation,inceptionv3,stl10,pool,tafe,1e-15,30,10,91.99,0.78,90.85,93.38,9.03,42.53
Non-ablation,inceptionv3,stl10,pool,tafe,1e-05,30,10,92.2,0.68,90.46,92.92,8.01,72.31
Non-ablation,inceptionv3,stl10,pool,tafe,0.01,30,10,91.73,0.24,91.35,92.04,5.76,90.53
Non-ablation,inceptionv3,stl10,pool,tafe,0.05,30,10,89.24,0.58,87.73,90.0,6.05,94.63
