Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,bird,pool,Baseline,None,30,10,55.43,0.34,54.93,56.18,29.1,0.0
xception,bird,pool,tafe,0.0,30,10,55.6,0.49,55.02,56.48,24.98,29.05
xception,bird,pool,tafe,1e-25,30,10,46.35,0.41,45.85,46.92,11.22,93.31
xception,bird,pool,tafe,1e-15,30,10,41.28,0.33,40.64,41.71,10.63,96.19
xception,bird,pool,tafe,1e-05,30,10,22.04,0.18,21.7,22.38,8.72,98.88
xception,bird,pool,tafe,0.01,30,10,3.88,0.13,3.7,4.13,7.87,99.8
xception,bird,dense,Baseline,None,30,10,51.92,0.56,51.18,52.91,323.69,0.0
xception,bird,dense,tafe,0.0,30,10,52.42,0.95,50.97,54.02,231.07,29.05
xception,bird,dense,tafe,1e-25,30,10,45.4,0.27,44.81,45.85,31.25,93.31
xception,bird,dense,tafe,1e-15,30,10,38.25,0.26,37.75,38.74,23.48,96.19
xception,bird,dense,tafe,1e-05,30,10,24.95,0.42,24.54,25.96,16.31,98.88
xception,bird,dense,tafe,0.01,30,10,6.54,0.29,6.2,7.06,9.39,99.8
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet121,bird,pool,Baseline,None,30,10,63.52,0.5,62.42,64.1,21.23,0.0
densenet121,bird,pool,tafe,0.0,30,10,61.8,0.43,61.04,62.63,13.7,64.65
densenet121,bird,pool,tafe,1e-25,30,10,16.27,0.17,16.06,16.62,9.01,97.66
densenet121,bird,pool,tafe,1e-15,30,10,8.48,0.25,8.22,9.13,8.66,98.63
densenet121,bird,pool,tafe,1e-05,30,10,2.01,0.19,1.64,2.28,7.89,99.71
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet121,bird,pool,Baseline,None,30,10,63.24,0.34,62.72,63.75,25.84,0.0
densenet121,bird,pool,tafe,0.0,30,10,61.9,0.51,61.17,62.76,16.9,64.65
densenet121,bird,pool,tafe,1e-25,30,10,16.4,0.21,16.1,16.66,9.84,97.66
densenet121,bird,pool,tafe,1e-15,30,10,8.52,0.16,8.22,8.74,9.73,98.63
densenet121,bird,pool,tafe,1e-05,30,10,1.93,0.1,1.76,2.07,9.48,99.71
densenet121,bird,pool,tafe,0.01,30,10,0.52,0.0,0.52,0.52,9.1,100.0
densenet121,bird,dense,Baseline,None,30,10,57.04,1.17,54.67,58.24,190.04,0.0
densenet121,bird,dense,tafe,0.0,30,10,56.15,0.69,55.06,57.25,73.29,64.65
densenet121,bird,dense,tafe,1e-25,30,10,19.11,0.23,18.77,19.46,19.97,97.66
densenet121,bird,dense,tafe,1e-15,30,10,13.26,0.25,13.0,13.69,18.78,98.63
densenet121,bird,dense,tafe,1e-05,30,10,3.95,0.23,3.66,4.39,10.84,99.71
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,bird,pool,Baseline,None,30,10,54.4,0.53,53.29,54.97,29.94,0.0
inceptionv3,bird,pool,tafe,0.0,30,10,54.38,0.25,53.94,54.84,30.0,0.0
inceptionv3,bird,pool,tafe,1e-25,30,10,55.29,0.34,54.46,55.83,23.31,53.47
inceptionv3,bird,pool,tafe,1e-15,30,10,54.66,0.5,53.94,55.4,21.83,66.31
inceptionv3,bird,pool,tafe,1e-05,30,10,51.73,0.42,51.27,52.73,14.48,86.18
inceptionv3,bird,pool,tafe,0.01,30,10,43.25,0.41,42.53,44.04,11.36,95.21
inceptionv3,bird,dense,Baseline,None,30,10,49.9,1.22,47.44,51.05,200.94,0.0
inceptionv3,bird,dense,tafe,0.0,30,10,49.69,1.09,48.26,51.66,200.22,0.0
inceptionv3,bird,dense,tafe,1e-25,30,10,51.93,0.52,51.23,52.86,91.22,53.47
inceptionv3,bird,dense,tafe,1e-15,30,10,51.42,0.6,50.41,52.3,70.33,66.31
inceptionv3,bird,dense,tafe,1e-05,30,10,49.56,0.3,49.2,50.24,37.96,86.18
inceptionv3,bird,dense,tafe,0.01,30,10,42.63,0.25,42.23,42.96,25.02,95.21
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet201,bird,pool,Baseline,None,30,10,66.0,0.29,65.52,66.59,30.11,0.0
densenet201,bird,pool,tafe,0.0,30,10,65.85,0.44,64.92,66.55,30.11,0.0
densenet201,bird,pool,tafe,1e-25,30,10,64.11,0.39,63.5,64.79,25.37,34.06
densenet201,bird,pool,tafe,1e-15,30,10,63.7,0.27,63.37,64.23,23.3,47.5
densenet201,bird,pool,tafe,1e-05,30,10,56.86,0.3,56.44,57.25,16.79,75.47
densenet201,bird,pool,tafe,0.01,30,10,41.3,0.26,40.94,41.8,13.65,89.53
densenet201,bird,dense,Baseline,None,30,10,59.89,0.72,58.07,60.61,302.98,0.0
densenet201,bird,dense,tafe,0.0,30,10,60.21,0.86,58.72,61.69,302.27,0.0
densenet201,bird,dense,tafe,1e-25,30,10,59.41,0.68,58.29,60.87,201.7,34.06
densenet201,bird,dense,tafe,1e-15,30,10,58.83,0.49,57.99,59.71,164.82,47.5
