Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,dog,pool,Baseline,None,30,10,78.02,0.23,77.75,78.46,46.18,0.0
xception,dog,pool,tafe,0.0,30,10,78.4,0.18,78.09,78.66,39.82,24.85
xception,dog,pool,tafe,1e-25,30,10,78.82,0.18,78.46,79.08,16.97,92.68
xception,dog,pool,tafe,1e-15,30,10,76.94,0.19,76.57,77.19,14.99,95.85
xception,dog,pool,tafe,1e-05,30,10,56.59,0.08,56.46,56.7,13.45,98.97
xception,dog,pool,tafe,0.01,30,10,9.71,0.09,9.53,9.82,12.96,99.8
xception,dog,dense,Baseline,None,30,10,76.72,0.32,76.23,77.21,354.31,0.0
xception,dog,dense,tafe,0.0,30,10,76.73,0.25,76.25,77.16,280.49,24.85
xception,dog,dense,tafe,1e-25,30,10,74.63,0.19,74.34,74.98,45.0,92.68
xception,dog,dense,tafe,1e-15,30,10,71.44,0.18,71.27,71.86,35.65,95.85
xception,dog,dense,tafe,1e-05,30,10,55.01,0.19,54.54,55.28,21.61,98.97
xception,dog,dense,tafe,0.01,30,10,14.28,0.27,13.73,14.78,15.0,99.8
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet121,dog,pool,Baseline,None,30,10,75.01,0.28,74.51,75.49,33.12,0.0
densenet121,dog,pool,tafe,0.0,30,10,74.62,0.27,74.02,75.0,21.87,55.18
densenet121,dog,pool,tafe,1e-25,30,10,53.02,0.21,52.6,53.34,14.05,96.0
densenet121,dog,pool,tafe,1e-15,30,10,45.26,0.13,44.99,45.48,13.74,97.17
densenet121,dog,pool,tafe,1e-05,30,10,13.38,0.14,13.24,13.75,13.01,99.22
densenet121,dog,pool,tafe,0.01,30,10,5.2,0.08,5.11,5.38,12.98,99.71
densenet121,dog,dense,Baseline,None,30,10,70.06,0.86,68.74,71.51,187.59,0.0
densenet121,dog,dense,tafe,0.0,30,10,69.61,0.7,68.39,70.51,94.16,55.18
densenet121,dog,dense,tafe,1e-25,30,10,46.19,0.16,45.92,46.41,28.71,96.0
densenet121,dog,dense,tafe,1e-15,30,10,40.73,0.25,40.3,41.13,26.72,97.17
densenet121,dog,dense,tafe,1e-05,30,10,21.22,0.25,20.9,21.76,16.25,99.22
densenet121,dog,dense,tafe,0.01,30,10,9.3,0.23,8.87,9.58,14.4,99.71
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,dog,pool,Baseline,None,30,10,77.67,0.24,77.01,77.87,37.82,0.0
inceptionv3,dog,pool,tafe,0.0,30,10,77.68,0.31,77.19,78.22,37.78,0.0
inceptionv3,dog,pool,tafe,1e-25,30,10,77.54,0.32,76.89,77.92,37.41,12.11
inceptionv3,dog,pool,tafe,1e-15,30,10,77.53,0.24,77.19,77.9,35.28,20.9
inceptionv3,dog,pool,tafe,1e-05,30,10,78.76,0.16,78.54,79.03,22.18,68.55
inceptionv3,dog,pool,tafe,0.01,30,10,77.32,0.22,76.96,77.63,18.15,87.35
inceptionv3,dog,dense,Baseline,None,30,10,77.18,0.57,76.11,77.87,189.48,0.0
inceptionv3,dog,dense,tafe,0.0,30,10,77.1,0.29,76.57,77.58,187.24,0.0
inceptionv3,dog,dense,tafe,1e-25,30,10,76.9,0.39,76.38,77.58,165.13,12.11
inceptionv3,dog,dense,tafe,1e-15,30,10,76.94,0.48,76.23,77.87,150.64,20.9
inceptionv3,dog,dense,tafe,1e-05,30,10,76.71,0.47,75.83,77.5,72.37,68.55
inceptionv3,dog,dense,tafe,0.01,30,10,73.38,0.29,72.64,73.65,45.66,87.35
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet201,dog,pool,Baseline,None,30,10,79.71,0.17,79.42,80.01,46.06,0.0
densenet201,dog,pool,tafe,0.0,30,10,79.77,0.24,79.35,80.13,46.4,0.0
densenet201,dog,pool,tafe,1e-25,30,10,78.96,0.38,78.44,79.62,38.62,40.68
densenet201,dog,pool,tafe,1e-15,30,10,77.96,0.15,77.73,78.14,35.41,53.49
densenet201,dog,pool,tafe,1e-05,30,10,74.95,0.23,74.53,75.22,24.74,77.81
densenet201,dog,pool,tafe,0.01,30,10,66.11,0.12,65.94,66.28,20.51,89.9
densenet201,dog,dense,Baseline,None,30,10,74.99,0.45,74.26,76.01,328.33,0.0
densenet201,dog,dense,tafe,0.0,30,10,74.91,1.19,71.64,76.01,329.69,0.0
densenet201,dog,dense,tafe,1e-25,30,10,74.35,0.33,73.77,74.8,206.61,40.68
densenet201,dog,dense,tafe,1e-15,30,10,73.11,0.56,72.22,74.14,168.76,53.49
densenet201,dog,dense,tafe,1e-05,30,10,69.96,0.47,69.2,71.05,92.34,77.81
densenet201,dog,dense,tafe,0.01,30,10,60.73,0.22,60.46,61.15,57.38,89.9
