Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,cats_vs_dogs,pool,Baseline,None,30,10,98.61,0.08,98.45,98.77,39.42,0.0
xception,cats_vs_dogs,pool,tafe,0.0,30,10,98.62,0.08,98.45,98.73,41.9,1.27
xception,cats_vs_dogs,pool,tafe,1e-25,30,10,98.7,0.05,98.6,98.77,39.1,6.64
xception,cats_vs_dogs,pool,tafe,1e-15,30,10,98.64,0.12,98.34,98.77,38.85,11.62
xception,cats_vs_dogs,pool,tafe,1e-05,30,10,98.73,0.04,98.67,98.8,35.77,25.54
xception,cats_vs_dogs,pool,tafe,0.01,30,10,98.64,0.13,98.45,98.88,31.21,40.43
inceptionv3,cats_vs_dogs,pool,Baseline,None,30,10,98.32,0.18,97.89,98.52,32.7,0.0
inceptionv3,cats_vs_dogs,pool,tafe,0.0,30,10,98.42,0.15,97.98,98.56,32.44,0.0
inceptionv3,cats_vs_dogs,pool,tafe,1e-25,30,10,98.48,0.12,98.19,98.62,29.46,24.9
inceptionv3,cats_vs_dogs,pool,tafe,1e-15,30,10,98.32,0.17,97.98,98.47,28.95,34.42
inceptionv3,cats_vs_dogs,pool,tafe,1e-05,30,10,98.34,0.08,98.15,98.41,22.35,79.64
inceptionv3,cats_vs_dogs,pool,tafe,0.01,30,10,97.63,0.04,97.55,97.7,19.46,92.19
densenet201,cats_vs_dogs,pool,Baseline,None,30,10,98.66,0.06,98.56,98.77,38.29,0.0
densenet201,cats_vs_dogs,pool,tafe,0.0,30,10,98.62,0.08,98.43,98.73,38.88,0.0
densenet201,cats_vs_dogs,pool,tafe,1e-25,30,10,98.33,0.04,98.26,98.41,26.45,64.27
densenet201,cats_vs_dogs,pool,tafe,1e-15,30,10,98.22,0.06,98.11,98.34,24.61,74.38
densenet201,cats_vs_dogs,pool,tafe,1e-05,30,10,97.47,0.13,97.27,97.63,20.87,90.1
densenet201,cats_vs_dogs,pool,tafe,0.01,30,10,91.48,0.08,91.31,91.59,19.46,96.41
resnet50,cats_vs_dogs,pool,Baseline,None,30,10,69.15,0.72,67.94,70.18,47.06,0.0
resnet50,cats_vs_dogs,pool,tafe,0.0,30,10,68.24,3.04,62.24,70.78,49.8,0.0
resnet50,cats_vs_dogs,pool,tafe,1e-25,30,10,68.23,1.83,63.1,69.62,41.64,46.78
resnet50,cats_vs_dogs,pool,tafe,1e-15,30,10,67.61,0.88,65.28,68.35,38.03,61.08
resnet50,cats_vs_dogs,pool,tafe,1e-05,30,10,65.53,0.22,65.02,65.81,30.52,87.3
resnet50,cats_vs_dogs,pool,tafe,0.01,30,10,62.65,0.24,62.2,63.04,29.67,95.95
vgg16,cats_vs_dogs,pool,Baseline,None,30,10,92.71,0.1,92.52,92.82,30.53,0.0
vgg16,cats_vs_dogs,pool,tafe,0.0,30,10,92.77,0.06,92.65,92.88,30.66,0.0
vgg16,cats_vs_dogs,pool,tafe,1e-25,30,10,89.57,0.18,89.16,89.79,24.58,50.59
vgg16,cats_vs_dogs,pool,tafe,1e-15,30,10,88.43,0.21,88.11,88.78,22.32,67.19
vgg16,cats_vs_dogs,pool,tafe,1e-05,30,10,83.22,0.05,83.14,83.32,20.45,88.28
vgg16,cats_vs_dogs,pool,tafe,0.01,30,10,67.63,0.07,67.53,67.77,18.96,97.07
