Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,dog,pool,Baseline,None,30,10,76.33,0.76,74.63,76.99,25.54,0.0
inceptionv3,dog,pool,tafe,0.0,30,10,76.65,0.32,76.13,77.21,27.36,0.0
inceptionv3,dog,pool,tafe,1e-45,30,10,76.71,0.66,75.54,77.5,26.99,4.2
inceptionv3,dog,pool,tafe,1e-25,30,10,77.01,0.53,75.88,77.7,26.04,12.11
inceptionv3,dog,pool,tafe,1e-15,30,10,77.07,0.44,76.35,77.58,23.55,20.9
inceptionv3,dog,pool,tafe,1e-05,30,10,77.49,0.37,77.11,78.09,17.27,68.55
inceptionv3,dog,pool,tafe,0.01,30,10,75.6,0.39,74.95,76.11,15.2,87.35
xception,dog,pool,Baseline,None,30,10,76.89,0.43,76.15,77.41,31.75,0.0
xception,dog,pool,tafe,0.0,30,10,76.85,0.35,75.96,77.16,29.11,0.83
xception,dog,pool,tafe,1e-45,30,10,76.75,0.44,76.11,77.38,25.47,0.88
xception,dog,pool,tafe,1e-25,30,10,76.77,0.34,76.11,77.36,26.44,2.64
xception,dog,pool,tafe,1e-15,30,10,76.63,0.53,75.86,77.41,23.88,6.69
xception,dog,pool,tafe,1e-05,30,10,77.03,0.33,76.35,77.53,24.45,20.8
xception,dog,pool,tafe,0.01,30,10,76.82,0.52,76.06,77.53,20.73,37.4
vgg16,dog,pool,Baseline,None,30,10,31.71,0.57,30.8,32.78,35.39,0.0
vgg16,dog,pool,tafe,0.0,30,10,31.87,1.21,29.42,33.6,35.26,0.0
vgg16,dog,pool,tafe,1e-45,30,10,25.82,1.02,24.02,27.06,35.21,36.52
vgg16,dog,pool,tafe,1e-25,30,10,24.28,0.35,23.6,24.9,37.02,52.15
vgg16,dog,pool,tafe,1e-15,30,10,20.66,0.72,19.84,22.4,27.96,64.84
vgg16,dog,pool,tafe,1e-05,30,10,12.79,0.49,12.06,13.31,20.41,87.7
vgg16,dog,pool,tafe,0.01,30,10,5.01,0.26,4.59,5.5,12.75,96.48
densenet201,dog,pool,Baseline,None,30,10,76.88,0.78,75.69,78.51,29.68,0.0
densenet201,dog,pool,tafe,0.0,30,10,76.4,0.69,74.9,77.43,26.96,0.0
densenet201,dog,pool,tafe,1e-45,30,10,76.81,0.66,75.88,77.8,23.8,26.67
densenet201,dog,pool,tafe,1e-25,30,10,76.2,0.62,74.61,77.04,22.55,40.68
densenet201,dog,pool,tafe,1e-15,30,10,75.57,0.78,73.87,76.47,18.19,53.49
densenet201,dog,pool,tafe,1e-05,30,10,72.75,0.68,71.61,74.02,14.06,77.81
densenet201,dog,pool,tafe,0.01,30,10,64.21,0.27,63.83,64.88,14.87,89.9
inceptionv3,dog,pool,Baseline,None,30,10,76.81,0.52,75.88,77.5,21.64,0.0
inceptionv3,dog,pool,tafe,0.0,30,10,76.7,0.41,75.69,77.33,20.16,0.0
inceptionv3,dog,pool,tafe,1e-45,30,10,76.85,0.42,76.01,77.33,22.0,4.2
inceptionv3,dog,pool,tafe,1e-25,30,10,76.91,0.53,75.69,77.5,20.75,12.11
inceptionv3,dog,pool,tafe,1e-15,30,10,77.02,0.68,75.59,77.7,19.23,20.9
inceptionv3,dog,pool,tafe,1e-05,30,10,77.49,0.39,76.79,78.07,15.25,68.55
inceptionv3,dog,pool,tafe,0.01,30,10,75.46,0.33,74.95,76.03,10.83,87.35
