Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,pet,pool,Baseline,None,30,10,86.26,0.95,84.36,87.64,10.24,0.0
inceptionv3,pet,pool,tafe,0.0,30,10,85.76,1.58,81.56,87.5,9.5,0.0
inceptionv3,pet,pool,tafe,1e-45,30,10,86.9,0.72,85.52,88.05,11.09,0.44
inceptionv3,pet,pool,tafe,1e-25,30,10,86.74,1.08,84.7,88.8,10.06,4.88
inceptionv3,pet,pool,tafe,1e-15,30,10,86.54,0.93,84.49,88.11,9.5,12.4
inceptionv3,pet,pool,tafe,1e-05,30,10,86.35,1.03,84.43,87.57,8.6,29.35
inceptionv3,pet,pool,tafe,0.01,30,10,85.92,1.15,83.88,87.43,7.32,55.27
xception,pet,pool,Baseline,None,30,10,87.83,0.87,86.61,89.69,10.22,0.0
xception,pet,pool,tafe,0.0,30,10,87.7,1.22,85.31,90.03,10.79,3.52
xception,pet,pool,tafe,1e-45,30,10,87.48,1.0,86.2,89.41,9.62,3.52
xception,pet,pool,tafe,1e-25,30,10,88.22,0.8,87.16,89.75,11.72,3.52
xception,pet,pool,tafe,1e-15,30,10,87.47,1.03,86.07,88.8,11.13,4.0
xception,pet,pool,tafe,1e-05,30,10,87.96,0.72,86.89,89.41,9.81,11.23
xception,pet,pool,tafe,0.01,30,10,87.94,0.81,86.13,89.28,9.39,26.46
densenet201,pet,pool,Baseline,None,30,10,87.49,1.55,85.04,89.28,11.69,0.0
densenet201,pet,pool,tafe,0.0,30,10,87.74,1.17,85.79,88.87,12.23,0.0
densenet201,pet,pool,tafe,1e-45,30,10,88.5,0.6,87.43,89.28,11.8,6.51
densenet201,pet,pool,tafe,1e-25,30,10,87.54,0.64,86.75,89.07,9.98,18.7
densenet201,pet,pool,tafe,1e-15,30,10,86.86,1.21,84.29,88.05,8.54,32.34
densenet201,pet,pool,tafe,1e-05,30,10,86.75,1.27,83.61,88.18,7.55,62.81
densenet201,pet,pool,tafe,0.01,30,10,83.16,0.51,82.17,84.02,5.58,82.55
vgg16,pet,pool,Baseline,None,30,10,56.27,2.29,51.71,59.36,11.34,0.0
vgg16,pet,pool,tafe,0.0,30,10,57.03,0.73,55.74,58.13,11.25,0.0
vgg16,pet,pool,tafe,1e-45,30,10,54.2,1.22,52.46,56.56,13.45,11.91
vgg16,pet,pool,tafe,1e-25,30,10,50.31,1.33,47.47,52.25,11.88,28.12
vgg16,pet,pool,tafe,1e-15,30,10,47.76,3.27,39.41,50.55,11.82,42.19
vgg16,pet,pool,tafe,1e-05,30,10,41.37,1.76,36.54,42.83,10.24,72.46
vgg16,pet,pool,tafe,0.01,30,10,26.82,1.11,24.93,28.48,7.46,88.67
