Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,stl10,pool,Baseline,None,30,10,92.49,0.79,90.65,93.31,11.36,0.0
inceptionv3,stl10,pool,tafe,0.0,30,10,92.78,0.29,92.23,93.12,14.17,0.0
inceptionv3,stl10,pool,tafe,1e-45,30,10,92.45,0.68,91.0,93.46,9.56,23.34
inceptionv3,stl10,pool,tafe,1e-25,30,10,92.52,0.48,91.42,93.15,9.76,33.25
inceptionv3,stl10,pool,tafe,1e-15,30,10,92.03,0.9,90.04,92.96,9.05,42.53
inceptionv3,stl10,pool,tafe,1e-05,30,10,92.16,0.3,91.65,92.58,7.24,72.31
inceptionv3,stl10,pool,tafe,0.01,30,10,91.67,0.67,89.96,92.42,5.14,90.53
xception,stl10,pool,Baseline,None,30,10,93.68,0.39,92.88,94.31,15.51,0.0
xception,stl10,pool,tafe,0.0,30,10,93.5,0.46,92.31,94.15,13.62,2.83
xception,stl10,pool,tafe,1e-45,30,10,93.52,0.35,92.81,94.19,12.6,5.47
xception,stl10,pool,tafe,1e-25,30,10,93.47,0.42,92.65,94.12,13.73,9.67
xception,stl10,pool,tafe,1e-15,30,10,93.56,0.43,92.88,94.23,13.06,13.96
xception,stl10,pool,tafe,1e-05,30,10,93.61,0.55,92.42,94.54,12.76,28.27
xception,stl10,pool,tafe,0.01,30,10,93.78,0.48,92.62,94.35,10.24,46.39
vgg16,stl10,pool,Baseline,None,30,10,74.47,1.84,71.31,76.92,10.73,0.0
vgg16,stl10,pool,tafe,0.0,30,10,75.42,1.14,73.42,76.92,12.37,0.0
vgg16,stl10,pool,tafe,1e-45,30,10,73.87,1.39,72.0,76.5,9.06,28.12
vgg16,stl10,pool,tafe,1e-25,30,10,73.99,1.32,70.77,75.27,11.01,47.07
vgg16,stl10,pool,tafe,1e-15,30,10,72.88,0.79,71.27,73.85,9.45,61.33
vgg16,stl10,pool,tafe,1e-05,30,10,66.26,0.61,65.31,67.31,7.98,84.96
vgg16,stl10,pool,tafe,0.01,30,10,52.62,0.78,51.54,53.81,5.87,94.92
densenet201,stl10,pool,Baseline,None,30,10,92.45,0.74,90.81,93.27,14.87,0.0
densenet201,stl10,pool,tafe,0.0,30,10,92.79,0.57,91.46,93.5,15.57,0.0
densenet201,stl10,pool,tafe,1e-45,30,10,90.95,1.02,89.46,92.62,7.79,49.11
densenet201,stl10,pool,tafe,1e-25,30,10,91.1,0.56,89.62,91.58,7.76,62.5
densenet201,stl10,pool,tafe,1e-15,30,10,90.19,0.44,89.15,90.85,7.79,72.76
densenet201,stl10,pool,tafe,1e-05,30,10,87.02,0.58,85.65,87.58,9.55,88.28
densenet201,stl10,pool,tafe,0.01,30,10,79.28,0.58,78.04,79.88,8.58,94.58
