Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet201,mit67,pool,Baseline,None,30,10,67.44,2.01,64.23,70.46,23.33,0.0
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
densenet201,mit67,pool,Baseline,None,30,10,66.88,1.63,64.91,70.11,21.24,0.0
densenet201,mit67,pool,tafe,0.0,30,10,66.9,1.38,65.17,70.21,24.53,0.0
densenet201,mit67,pool,tafe,1e-45,30,10,65.1,3.32,55.71,68.17,17.02,16.25
densenet201,mit67,pool,tafe,1e-35,30,10,66.11,2.1,62.07,69.14,18.23,22.08
densenet201,mit67,pool,tafe,1e-25,30,10,67.01,1.24,64.91,68.69,17.38,30.63
densenet201,mit67,pool,tafe,1e-15,30,10,65.2,1.02,64.01,67.08,15.15,44.64
densenet201,mit67,pool,tafe,1e-05,30,10,63.21,0.71,62.27,64.65,12.12,73.02
densenet201,mit67,pool,tafe,0.01,30,10,54.78,0.78,53.68,56.1,14.09,88.02
densenet201,mit67,pool,tafe,0.05,30,10,49.19,0.55,48.1,50.29,10.8,91.09
