Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,dog,pool,Baseline,None,30,10,68.16,2.07,65.57,71.59,47.68,0.0
inceptionv3,dog,pool,tafe,0.0,30,10,66.91,1.71,64.46,70.04,41.79,0.0
inceptionv3,dog,pool,tafe,1e-45,30,10,67.45,2.93,60.27,70.48,45.04,4.2
inceptionv3,dog,pool,tafe,1e-25,30,10,68.21,1.93,64.61,71.24,43.35,12.11
inceptionv3,dog,pool,tafe,1e-15,30,10,68.06,1.94,63.97,70.68,38.89,20.9
inceptionv3,dog,pool,tafe,1e-05,30,10,72.49,0.91,71.12,74.19,25.99,68.55
inceptionv3,dog,pool,tafe,0.01,30,10,70.1,0.89,68.57,71.68,36.54,87.35
xception,dog,pool,Baseline,None,30,10,66.64,1.01,64.91,68.3,56.98,0.0
xception,dog,pool,tafe,0.0,30,10,65.98,1.9,62.33,68.34,60.11,0.83
xception,dog,pool,tafe,1e-45,30,10,67.13,0.99,65.77,69.16,62.08,0.88
xception,dog,pool,tafe,1e-25,30,10,66.0,1.09,63.92,68.17,57.86,2.64
xception,dog,pool,tafe,1e-15,30,10,65.46,1.74,61.27,67.88,61.43,6.69
xception,dog,pool,tafe,1e-05,30,10,68.66,0.78,67.66,70.04,62.75,20.8
xception,dog,pool,tafe,0.01,30,10,67.56,1.88,63.63,70.09,45.4,37.4
vgg16,dog,pool,Baseline,None,30,10,1.23,0.0,1.23,1.23,10.03,0.0
vgg16,dog,pool,tafe,0.0,30,10,1.22,0.01,1.18,1.23,11.15,0.0
vgg16,dog,pool,tafe,1e-45,30,10,1.23,0.0,1.23,1.23,7.69,36.52
vgg16,dog,pool,tafe,1e-25,30,10,1.22,0.02,1.15,1.23,7.57,52.15
vgg16,dog,pool,tafe,1e-15,30,10,1.23,0.0,1.23,1.23,6.67,64.84
vgg16,dog,pool,tafe,1e-05,30,10,1.23,0.0,1.23,1.23,4.85,87.7
vgg16,dog,pool,tafe,0.01,30,10,1.23,0.0,1.23,1.23,4.43,96.48
densenet201,dog,pool,Baseline,None,30,10,64.26,2.09,60.83,67.66,39.99,0.0
densenet201,dog,pool,tafe,0.0,30,10,63.53,2.64,58.15,66.6,35.83,0.0
densenet201,dog,pool,tafe,1e-45,30,10,66.32,2.0,63.53,69.65,37.15,26.67
densenet201,dog,pool,tafe,1e-25,30,10,66.83,2.53,63.04,70.11,34.66,40.68
densenet201,dog,pool,tafe,1e-15,30,10,65.65,3.07,59.21,69.55,28.43,53.49
densenet201,dog,pool,tafe,1e-05,30,10,66.0,1.84,62.01,68.44,26.64,77.81
densenet201,dog,pool,tafe,0.01,30,10,57.41,0.99,55.72,58.72,25.5,89.9
