Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,mit67,pool,Baseline,None,30,10,28.68,3.58,21.82,33.44,25.24,0.0
inceptionv3,mit67,pool,tafe,0.0,30,10,30.56,3.65,23.43,37.54,27.55,0.0
inceptionv3,mit67,pool,tafe,1e-45,30,10,30.08,3.3,24.82,35.05,29.68,0.2
inceptionv3,mit67,pool,tafe,1e-25,30,10,31.64,3.57,25.89,38.25,30.26,1.86
inceptionv3,mit67,pool,tafe,1e-15,30,10,34.19,2.44,30.31,38.83,33.98,7.62
inceptionv3,mit67,pool,tafe,1e-05,30,10,34.53,4.36,24.47,40.19,24.73,40.38
inceptionv3,mit67,pool,tafe,0.01,30,10,35.54,3.06,30.02,40.19,17.38,78.47
xception,mit67,pool,Baseline,None,30,10,34.54,3.45,27.76,38.9,39.1,0.0
xception,mit67,pool,tafe,0.0,30,10,36.56,3.92,28.47,40.19,43.65,0.83
xception,mit67,pool,tafe,1e-45,30,10,37.94,2.95,34.44,42.83,44.54,0.88
xception,mit67,pool,tafe,1e-25,30,10,35.36,4.66,23.63,40.41,40.55,1.86
xception,mit67,pool,tafe,1e-15,30,10,35.98,4.87,26.73,44.38,39.16,7.23
xception,mit67,pool,tafe,1e-05,30,10,38.74,3.69,30.54,42.06,38.31,22.46
xception,mit67,pool,tafe,0.01,30,10,34.54,7.41,20.59,44.51,27.4,38.38
vgg16,mit67,pool,Baseline,None,30,10,5.06,1.08,4.26,7.88,8.89,0.0
vgg16,mit67,pool,tafe,0.0,30,10,4.95,1.04,4.26,8.04,7.39,0.0
vgg16,mit67,pool,tafe,1e-45,30,10,4.66,0.07,4.55,4.71,6.56,29.3
vgg16,mit67,pool,tafe,1e-25,30,10,4.61,0.14,4.26,4.71,5.84,51.17
vgg16,mit67,pool,tafe,1e-15,30,10,4.65,0.08,4.55,4.71,4.95,68.16
vgg16,mit67,pool,tafe,1e-05,30,10,4.59,0.14,4.26,4.71,3.78,86.52
vgg16,mit67,pool,tafe,0.01,30,10,4.57,0.17,4.26,4.71,3.46,92.38
densenet201,mit67,pool,Baseline,None,30,10,40.25,4.39,32.8,48.1,22.97,0.0
densenet201,mit67,pool,tafe,0.0,30,10,39.6,5.54,32.41,48.39,26.8,0.0
densenet201,mit67,pool,tafe,1e-45,30,10,44.59,3.35,40.38,49.19,25.98,16.25
densenet201,mit67,pool,tafe,1e-25,30,10,43.97,3.6,36.51,49.06,23.57,30.63
densenet201,mit67,pool,tafe,1e-15,30,10,39.55,4.87,31.63,50.26,17.52,44.64
densenet201,mit67,pool,tafe,1e-05,30,10,43.96,3.29,36.41,48.81,17.21,73.02
densenet201,mit67,pool,tafe,0.01,30,10,39.59,2.37,34.31,42.45,15.83,88.02
