Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,pet,pool,Baseline,None,30,10,66.73,5.92,55.46,76.02,9.15,0.0
inceptionv3,pet,pool,tafe,0.0,30,10,68.95,4.46,57.79,74.04,9.07,0.0
inceptionv3,pet,pool,tafe,1e-45,30,10,71.55,4.38,63.05,77.25,10.64,0.44
inceptionv3,pet,pool,tafe,1e-25,30,10,67.9,2.7,64.0,71.99,7.62,4.88
inceptionv3,pet,pool,tafe,1e-15,30,10,69.93,4.58,60.18,77.05,8.19,12.4
inceptionv3,pet,pool,tafe,1e-05,30,10,69.85,3.74,61.95,75.75,7.65,29.35
inceptionv3,pet,pool,tafe,0.01,30,10,69.38,4.05,60.11,75.14,6.13,55.27
xception,pet,pool,Baseline,None,30,10,75.75,2.12,73.16,80.33,14.35,0.0
xception,pet,pool,tafe,0.0,30,10,75.12,2.21,72.13,77.8,14.11,3.52
xception,pet,pool,tafe,1e-45,30,10,73.74,3.83,67.28,81.63,15.29,3.52
xception,pet,pool,tafe,1e-25,30,10,73.56,3.51,68.31,79.17,14.71,3.52
xception,pet,pool,tafe,1e-15,30,10,74.68,5.08,61.61,80.81,13.89,4.0
xception,pet,pool,tafe,1e-05,30,10,75.18,3.76,67.01,79.17,12.79,11.23
xception,pet,pool,tafe,0.01,30,10,74.77,3.47,70.22,80.74,11.68,26.46
vgg16,pet,pool,Baseline,None,30,10,5.16,1.27,2.73,6.56,5.4,0.0
vgg16,pet,pool,tafe,0.0,30,10,4.59,1.76,2.73,7.51,5.79,0.0
vgg16,pet,pool,tafe,1e-45,30,10,2.69,0.09,2.46,2.73,2.78,11.91
vgg16,pet,pool,tafe,1e-25,30,10,2.71,0.03,2.66,2.73,2.7,28.12
vgg16,pet,pool,tafe,1e-15,30,10,2.72,0.03,2.66,2.73,2.5,42.19
vgg16,pet,pool,tafe,1e-05,30,10,2.75,0.09,2.66,3.01,2.3,72.46
vgg16,pet,pool,tafe,0.01,30,10,2.5,0.41,1.64,2.73,2.04,88.67
densenet201,pet,pool,Baseline,None,30,10,69.69,6.63,57.51,76.64,10.23,0.0
densenet201,pet,pool,tafe,0.0,30,10,70.63,5.77,58.67,78.35,11.23,0.0
densenet201,pet,pool,tafe,1e-45,30,10,73.52,4.04,64.21,78.55,10.52,6.51
densenet201,pet,pool,tafe,1e-25,30,10,72.45,3.2,68.03,77.19,9.17,18.7
densenet201,pet,pool,tafe,1e-15,30,10,73.61,6.32,62.98,82.45,9.46,32.34
densenet201,pet,pool,tafe,1e-05,30,10,76.14,3.45,69.33,81.01,7.63,62.81
densenet201,pet,pool,tafe,0.01,30,10,74.66,2.56,69.74,77.8,5.85,82.55
