Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,bird,pool,Baseline,None,30,10,10.76,3.5,6.28,17.22,29.65,0.0
inceptionv3,bird,pool,tafe,0.0,30,10,10.12,4.51,1.46,16.83,25.59,0.0
inceptionv3,bird,pool,tafe,1e-45,30,10,14.22,2.72,10.76,19.2,27.7,25.63
inceptionv3,bird,pool,tafe,1e-25,30,10,10.32,5.97,1.59,18.3,19.56,53.47
inceptionv3,bird,pool,tafe,1e-15,30,10,12.72,2.65,8.78,17.74,23.96,66.31
inceptionv3,bird,pool,tafe,1e-05,30,10,12.18,6.23,1.25,21.91,17.37,86.18
inceptionv3,bird,pool,tafe,0.01,30,10,2.28,4.08,0.43,14.51,5.53,95.21
xception,bird,pool,Baseline,None,30,10,1.19,0.32,0.77,1.89,11.97,0.0
xception,bird,pool,tafe,0.0,30,10,4.64,4.61,1.12,15.84,24.12,1.56
xception,bird,pool,tafe,1e-45,30,10,0.99,0.58,0.56,2.28,11.79,8.25
xception,bird,pool,tafe,1e-25,30,10,1.89,1.31,0.69,4.56,15.17,13.13
xception,bird,pool,tafe,1e-15,30,10,1.08,0.38,0.52,1.72,10.22,17.87
xception,bird,pool,tafe,1e-05,30,10,1.64,0.98,0.86,4.39,11.28,31.1
xception,bird,pool,tafe,0.01,30,10,2.68,4.08,0.77,14.89,11.68,46.58
vgg16,bird,pool,Baseline,None,30,10,0.52,0.0,0.52,0.52,5.38,0.0
vgg16,bird,pool,tafe,0.0,30,10,0.49,0.03,0.43,0.52,5.16,0.98
vgg16,bird,pool,tafe,1e-45,30,10,0.51,0.02,0.47,0.52,4.49,52.15
vgg16,bird,pool,tafe,1e-25,30,10,0.5,0.06,0.34,0.6,4.09,67.77
vgg16,bird,pool,tafe,1e-15,30,10,0.5,0.03,0.43,0.52,3.71,77.54
vgg16,bird,pool,tafe,1e-05,30,10,0.5,0.02,0.47,0.52,3.28,92.38
vgg16,bird,pool,tafe,0.01,30,10,0.51,0.01,0.47,0.52,2.92,97.46
densenet201,bird,pool,Baseline,None,30,10,27.77,2.22,23.98,31.86,46.66,0.0
densenet201,bird,pool,tafe,0.0,30,10,30.4,4.87,23.72,37.28,49.96,0.0
densenet201,bird,pool,tafe,1e-45,30,10,31.24,3.44,23.93,35.99,47.01,17.81
densenet201,bird,pool,tafe,1e-25,30,10,30.55,3.3,26.17,36.03,40.63,34.06
densenet201,bird,pool,tafe,1e-15,30,10,33.35,2.63,29.57,37.84,44.16,47.5
densenet201,bird,pool,tafe,1e-05,30,10,27.51,3.83,20.75,32.46,35.81,75.47
densenet201,bird,pool,tafe,0.01,30,10,20.35,4.04,11.88,25.31,31.25,89.53
