Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,dog,pool,Baseline,None,30,10,67.7,2.46,62.67,70.85,36.92,0.0
inceptionv3,dog,pool,tafe,0.0,30,10,66.87,1.57,64.59,69.79,34.82,0.0
inceptionv3,dog,pool,tafe,1e-45,30,10,65.88,2.32,62.48,70.26,36.14,4.2
inceptionv3,dog,pool,tafe,1e-25,30,10,66.62,2.83,60.83,70.87,34.75,12.11
inceptionv3,dog,pool,tafe,1e-15,30,10,65.6,3.28,58.96,70.04,27.46,20.9
inceptionv3,dog,pool,tafe,1e-05,30,10,69.92,2.24,65.89,72.25,18.46,68.55
inceptionv3,dog,pool,tafe,0.01,30,10,67.94,1.19,65.5,69.82,20.38,87.35
xception,dog,pool,Baseline,None,30,10,64.33,2.63,60.73,68.74,51.38,0.0
xception,dog,pool,tafe,0.0,30,10,65.07,2.83,60.14,68.96,60.79,0.83
xception,dog,pool,tafe,1e-45,30,10,64.97,2.0,61.89,68.37,48.97,0.88
xception,dog,pool,tafe,1e-25,30,10,64.58,1.32,62.6,66.48,55.15,2.64
xception,dog,pool,tafe,1e-15,30,10,66.0,1.42,63.73,68.1,52.33,6.69
xception,dog,pool,tafe,1e-05,30,10,67.94,2.15,64.78,71.14,48.32,20.8
xception,dog,pool,tafe,0.01,30,10,67.48,2.0,64.1,70.58,37.94,37.4
vgg16,dog,pool,Baseline,None,30,10,1.21,0.03,1.15,1.23,8.71,0.0
vgg16,dog,pool,tafe,0.0,30,10,1.22,0.03,1.13,1.23,9.95,0.0
vgg16,dog,pool,tafe,1e-45,30,10,1.23,0.0,1.23,1.23,7.61,36.52
vgg16,dog,pool,tafe,1e-25,30,10,1.23,0.0,1.23,1.23,6.08,52.15
vgg16,dog,pool,tafe,1e-15,30,10,1.22,0.02,1.15,1.23,5.7,64.84
vgg16,dog,pool,tafe,1e-05,30,10,1.22,0.02,1.15,1.23,4.3,87.7
vgg16,dog,pool,tafe,0.01,30,10,1.22,0.02,1.15,1.23,4.0,96.48
densenet201,dog,pool,Baseline,None,30,10,59.1,5.24,50.86,68.25,32.07,0.0
densenet201,dog,pool,tafe,0.0,30,10,62.81,2.37,60.22,66.92,32.64,0.0
densenet201,dog,pool,tafe,1e-45,30,10,61.01,2.65,56.14,64.22,31.76,26.67
densenet201,dog,pool,tafe,1e-25,30,10,62.11,2.28,58.23,65.18,26.34,40.68
densenet201,dog,pool,tafe,1e-15,30,10,64.0,1.84,59.58,66.55,25.36,53.49
densenet201,dog,pool,tafe,1e-05,30,10,63.89,1.13,61.52,65.59,20.33,77.81
densenet201,dog,pool,tafe,0.01,30,10,56.7,1.23,53.76,58.25,22.55,89.9
