Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,mit67,pool,Baseline,None,30,10,27.81,3.54,21.24,31.08,25.25,0.0
inceptionv3,mit67,pool,tafe,0.0,30,10,28.23,3.8,20.82,33.6,24.17,0.0
inceptionv3,mit67,pool,tafe,1e-45,30,10,31.55,3.37,25.69,37.15,30.53,0.2
inceptionv3,mit67,pool,tafe,1e-25,30,10,29.22,3.47,23.98,34.6,26.32,1.86
inceptionv3,mit67,pool,tafe,1e-15,30,10,30.16,3.3,24.98,34.76,27.92,7.62
inceptionv3,mit67,pool,tafe,1e-05,30,10,32.75,4.33,24.11,39.74,20.85,40.38
inceptionv3,mit67,pool,tafe,0.01,30,10,32.15,6.1,19.08,39.9,14.57,78.47
xception,mit67,pool,Baseline,None,30,10,32.12,5.43,22.05,41.61,39.96,0.0
xception,mit67,pool,tafe,0.0,30,10,34.14,7.39,14.23,41.41,41.44,0.83
xception,mit67,pool,tafe,1e-45,30,10,35.2,3.63,28.11,40.77,44.33,0.88
xception,mit67,pool,tafe,1e-25,30,10,36.2,2.51,32.99,41.54,47.68,1.86
xception,mit67,pool,tafe,1e-15,30,10,34.13,8.85,10.04,40.64,46.03,7.23
xception,mit67,pool,tafe,1e-05,30,10,34.79,3.91,27.73,40.9,35.67,22.46
xception,mit67,pool,tafe,0.01,30,10,38.03,3.75,28.92,43.12,39.08,38.38
vgg16,mit67,pool,Baseline,None,30,10,4.99,0.89,4.55,7.65,8.22,0.0
vgg16,mit67,pool,tafe,0.0,30,10,4.6,0.25,3.87,4.71,7.72,0.0
vgg16,mit67,pool,tafe,1e-45,30,10,4.62,0.14,4.26,4.71,7.17,29.3
vgg16,mit67,pool,tafe,1e-25,30,10,4.62,0.08,4.55,4.71,7.02,51.17
vgg16,mit67,pool,tafe,1e-15,30,10,4.68,0.06,4.55,4.71,6.01,68.16
vgg16,mit67,pool,tafe,1e-05,30,10,4.62,0.14,4.26,4.71,4.06,86.52
vgg16,mit67,pool,tafe,0.01,30,10,4.63,0.14,4.26,4.71,4.08,92.38
densenet201,mit67,pool,Baseline,None,30,10,37.91,3.76,32.21,44.58,29.87,0.0
densenet201,mit67,pool,tafe,0.0,30,10,39.44,5.14,31.96,47.45,29.94,0.0
densenet201,mit67,pool,tafe,1e-45,30,10,40.71,3.92,33.47,45.67,26.03,16.25
densenet201,mit67,pool,tafe,1e-25,30,10,38.52,5.42,31.02,47.45,20.54,30.63
densenet201,mit67,pool,tafe,1e-15,30,10,38.62,2.39,34.44,42.16,20.7,44.64
densenet201,mit67,pool,tafe,1e-05,30,10,41.17,5.26,26.31,46.38,17.61,73.02
densenet201,mit67,pool,tafe,0.01,30,10,37.38,3.9,30.47,43.0,17.12,88.02
