Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,pet,pool,Baseline,None,30,10,69.02,4.13,62.5,74.45,11.68,0.0
inceptionv3,pet,pool,tafe,0.0,30,10,67.94,4.09,60.93,73.02,11.87,0.0
inceptionv3,pet,pool,tafe,1e-45,30,10,69.39,3.48,61.07,75.2,11.13,0.44
inceptionv3,pet,pool,tafe,1e-25,30,10,69.13,4.52,59.84,75.0,12.57,4.88
inceptionv3,pet,pool,tafe,1e-15,30,10,69.02,5.02,62.5,75.75,10.71,12.4
inceptionv3,pet,pool,tafe,1e-05,30,10,70.76,3.08,63.25,75.0,8.7,29.35
inceptionv3,pet,pool,tafe,0.01,30,10,71.65,2.71,68.31,76.43,7.29,55.27
xception,pet,pool,Baseline,None,30,10,70.54,4.23,61.2,77.12,15.91,0.0
xception,pet,pool,tafe,0.0,30,10,72.19,5.92,58.33,79.17,16.83,3.52
xception,pet,pool,tafe,1e-45,30,10,71.33,3.13,65.51,75.2,14.52,3.52
xception,pet,pool,tafe,1e-25,30,10,74.28,4.27,64.0,78.42,18.27,3.52
xception,pet,pool,tafe,1e-15,30,10,71.13,4.35,64.07,76.71,16.44,4.0
xception,pet,pool,tafe,1e-05,30,10,70.68,5.35,57.99,77.05,13.41,11.23
xception,pet,pool,tafe,0.01,30,10,70.12,4.92,61.54,76.23,13.73,26.46
vgg16,pet,pool,Baseline,None,30,10,4.2,1.83,2.66,7.04,5.75,0.0
vgg16,pet,pool,tafe,0.0,30,10,3.44,1.22,2.66,6.01,5.77,0.0
vgg16,pet,pool,tafe,1e-45,30,10,2.62,0.28,1.78,2.73,3.95,11.91
vgg16,pet,pool,tafe,1e-25,30,10,2.73,0.02,2.66,2.73,3.33,28.12
vgg16,pet,pool,tafe,1e-15,30,10,2.73,0.02,2.66,2.73,3.19,42.19
vgg16,pet,pool,tafe,1e-05,30,10,2.78,0.15,2.66,3.21,2.94,72.46
vgg16,pet,pool,tafe,0.01,30,10,2.75,0.13,2.66,3.14,2.23,88.67
densenet201,pet,pool,Baseline,None,30,10,69.41,2.72,64.55,72.81,10.56,0.0
densenet201,pet,pool,tafe,0.0,30,10,67.3,6.59,51.3,75.14,11.75,0.0
densenet201,pet,pool,tafe,1e-45,30,10,70.87,4.99,65.57,77.6,14.11,6.51
densenet201,pet,pool,tafe,1e-25,30,10,71.59,3.66,68.03,78.35,11.53,18.7
densenet201,pet,pool,tafe,1e-15,30,10,71.16,4.02,62.57,76.5,10.2,32.34
densenet201,pet,pool,tafe,1e-05,30,10,68.61,4.38,61.61,75.0,7.64,62.81
densenet201,pet,pool,tafe,0.01,30,10,72.13,2.45,66.6,76.37,6.23,82.55
