Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,stl10,pool,Baseline,None,30,10,85.26,3.97,75.69,89.23,18.89,0.0
inceptionv3,stl10,pool,tafe,0.0,30,10,84.93,2.85,79.73,89.5,17.88,0.0
inceptionv3,stl10,pool,tafe,1e-45,30,10,85.55,3.41,79.46,90.46,15.13,23.34
inceptionv3,stl10,pool,tafe,1e-25,30,10,85.26,2.78,80.27,89.62,15.35,33.25
inceptionv3,stl10,pool,tafe,1e-15,30,10,85.67,3.16,80.46,89.65,13.42,42.53
inceptionv3,stl10,pool,tafe,1e-05,30,10,85.1,4.61,71.77,88.88,9.8,72.31
inceptionv3,stl10,pool,tafe,0.01,30,10,84.73,3.62,75.38,87.96,8.74,90.53
xception,stl10,pool,Baseline,None,30,10,86.08,2.54,81.65,91.42,23.93,0.0
xception,stl10,pool,tafe,0.0,30,10,86.11,3.0,78.42,89.12,21.12,2.83
xception,stl10,pool,tafe,1e-45,30,10,86.69,3.07,80.42,91.58,23.26,5.47
xception,stl10,pool,tafe,1e-25,30,10,86.05,2.96,81.62,90.35,20.1,9.67
xception,stl10,pool,tafe,1e-15,30,10,87.15,3.22,80.12,90.38,21.49,13.96
xception,stl10,pool,tafe,1e-05,30,10,87.33,1.79,84.46,89.81,18.13,28.27
xception,stl10,pool,tafe,0.01,30,10,87.02,2.99,81.31,90.85,16.53,46.39
vgg16,stl10,pool,Baseline,None,30,10,44.78,3.72,35.23,48.42,18.63,0.0
vgg16,stl10,pool,tafe,0.0,30,10,45.19,6.21,27.77,50.27,18.99,0.0
vgg16,stl10,pool,tafe,1e-45,30,10,44.0,4.82,34.46,49.62,15.69,28.12
vgg16,stl10,pool,tafe,1e-25,30,10,46.55,2.36,43.0,50.62,17.25,47.07
vgg16,stl10,pool,tafe,1e-15,30,10,47.68,2.3,42.54,52.27,17.99,61.33
vgg16,stl10,pool,tafe,1e-05,30,10,42.04,2.28,37.62,45.12,12.36,84.96
vgg16,stl10,pool,tafe,0.01,30,10,21.96,8.32,10.0,32.12,7.68,94.92
densenet201,stl10,pool,Baseline,None,30,10,79.64,6.34,67.65,85.85,14.05,0.0
densenet201,stl10,pool,tafe,0.0,30,10,83.49,3.03,76.73,87.15,17.66,0.0
densenet201,stl10,pool,tafe,1e-45,30,10,81.86,2.77,76.15,85.27,12.19,49.11
densenet201,stl10,pool,tafe,1e-25,30,10,81.26,1.79,78.77,84.65,8.78,62.5
densenet201,stl10,pool,tafe,1e-15,30,10,81.31,2.13,78.27,84.73,9.98,72.76
densenet201,stl10,pool,tafe,1e-05,30,10,78.05,1.58,74.08,79.77,8.41,88.28
densenet201,stl10,pool,tafe,0.01,30,10,68.06,1.02,66.58,69.58,8.15,94.58
