Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,bird,pool,Baseline,None,30,10,36.32,2.05,33.06,39.47,21.61,0.0
inceptionv3,bird,pool,tafe,0.0,30,10,35.52,2.38,31.21,39.3,19.33,0.0
inceptionv3,bird,pool,tafe,1e-45,30,10,35.11,2.68,31.38,39.39,15.26,25.63
inceptionv3,bird,pool,tafe,1e-25,30,10,36.84,3.33,29.23,41.58,13.14,53.47
inceptionv3,bird,pool,tafe,1e-15,30,10,38.58,2.16,35.26,41.71,12.21,66.31
inceptionv3,bird,pool,tafe,1e-05,30,10,39.07,1.84,35.0,41.11,12.4,86.18
inceptionv3,bird,pool,tafe,0.01,30,10,33.91,1.16,32.76,36.12,10.56,95.21
xception,bird,pool,Baseline,None,30,10,37.23,2.8,31.68,40.77,29.72,0.0
xception,bird,pool,tafe,0.0,30,10,36.86,3.03,31.77,41.89,23.06,1.56
xception,bird,pool,tafe,1e-45,30,10,37.8,3.19,31.21,42.14,26.86,8.25
xception,bird,pool,tafe,1e-25,30,10,37.93,2.22,32.93,40.81,29.73,13.13
xception,bird,pool,tafe,1e-15,30,10,36.92,3.53,33.28,44.21,22.2,17.87
xception,bird,pool,tafe,1e-05,30,10,36.52,2.88,30.78,39.95,19.56,31.1
xception,bird,pool,tafe,0.01,30,10,36.81,3.38,27.89,39.99,18.93,46.58
densenet201,bird,pool,Baseline,None,30,10,49.52,2.97,45.07,54.93,25.43,0.0
densenet201,bird,pool,tafe,0.0,30,10,52.32,1.72,49.46,55.14,26.3,0.0
densenet201,bird,pool,tafe,1e-45,30,10,50.43,1.82,47.74,53.42,21.36,17.81
densenet201,bird,pool,tafe,1e-25,30,10,51.26,2.6,47.52,56.22,19.38,34.06
densenet201,bird,pool,tafe,1e-15,30,10,48.82,2.22,43.26,52.13,19.81,47.5
densenet201,bird,pool,tafe,1e-05,30,10,45.67,1.18,43.52,47.78,16.65,75.47
densenet201,bird,pool,tafe,0.01,30,10,34.7,1.06,32.85,36.72,16.13,89.53
vgg16,bird,pool,Baseline,None,30,10,7.78,1.74,4.56,10.85,20.96,0.0
vgg16,bird,pool,tafe,0.0,30,10,7.21,1.49,3.92,9.13,20.42,0.98
vgg16,bird,pool,tafe,1e-45,30,10,6.33,1.07,4.74,8.05,17.23,52.15
vgg16,bird,pool,tafe,1e-25,30,10,5.8,0.69,4.39,6.8,13.9,67.77
vgg16,bird,pool,tafe,1e-15,30,10,5.29,0.85,4.09,6.93,12.0,77.54
vgg16,bird,pool,tafe,1e-05,30,10,2.91,0.4,2.2,3.62,10.36,92.38
vgg16,bird,pool,tafe,0.01,30,10,1.08,0.11,0.86,1.25,5.5,97.46
