Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,stl10,pool,Baseline,None,30,10,90.57,1.69,86.0,91.81,12.27,0.0
inceptionv3,stl10,pool,tafe,0.0,30,10,90.49,2.19,84.58,92.31,14.15,0.0
inceptionv3,stl10,pool,tafe,1e-45,30,10,89.94,2.02,84.54,92.46,11.44,23.34
inceptionv3,stl10,pool,tafe,1e-25,30,10,90.4,1.39,87.88,91.85,8.85,33.25
inceptionv3,stl10,pool,tafe,1e-15,30,10,90.25,1.25,87.46,92.19,9.55,42.53
inceptionv3,stl10,pool,tafe,1e-05,30,10,89.53,0.53,88.54,90.23,6.1,72.31
inceptionv3,stl10,pool,tafe,0.01,30,10,89.26,0.88,87.73,90.81,4.89,90.53
xception,stl10,pool,Baseline,None,30,10,89.01,3.74,80.23,92.12,12.53,0.0
xception,stl10,pool,tafe,0.0,30,10,90.01,3.36,80.5,93.31,16.03,2.83
xception,stl10,pool,tafe,1e-45,30,10,90.86,1.09,89.08,92.58,12.81,5.47
xception,stl10,pool,tafe,1e-25,30,10,91.13,0.94,89.62,92.46,10.84,9.67
xception,stl10,pool,tafe,1e-15,30,10,89.97,2.24,86.62,92.77,12.17,13.96
xception,stl10,pool,tafe,1e-05,30,10,90.32,3.56,79.85,92.27,11.59,28.27
xception,stl10,pool,tafe,0.01,30,10,90.88,1.19,88.38,92.54,10.23,46.39
densenet201,stl10,pool,Baseline,None,30,10,89.77,1.29,86.96,91.31,14.31,0.0
densenet201,stl10,pool,tafe,0.0,30,10,89.85,1.85,85.58,91.88,12.08,0.0
densenet201,stl10,pool,tafe,1e-45,30,10,88.82,1.19,87.5,91.04,9.08,49.11
densenet201,stl10,pool,tafe,1e-25,30,10,89.06,0.64,88.15,90.15,7.78,62.5
densenet201,stl10,pool,tafe,1e-15,30,10,87.23,0.72,85.92,88.23,6.55,72.76
densenet201,stl10,pool,tafe,1e-05,30,10,83.43,1.13,81.19,85.0,6.71,88.28
densenet201,stl10,pool,tafe,0.01,30,10,74.09,0.66,73.12,75.46,5.34,94.58
vgg16,stl10,pool,Baseline,None,30,10,60.14,2.95,54.19,64.35,8.9,0.0
vgg16,stl10,pool,tafe,0.0,30,10,58.44,2.08,56.12,62.65,7.29,0.0
vgg16,stl10,pool,tafe,1e-45,30,10,59.74,3.75,52.62,67.23,9.08,28.12
vgg16,stl10,pool,tafe,1e-25,30,10,58.77,4.5,50.85,64.69,7.37,47.07
vgg16,stl10,pool,tafe,1e-15,30,10,61.18,1.39,59.19,63.65,8.19,61.33
vgg16,stl10,pool,tafe,1e-05,30,10,56.01,2.08,52.58,58.81,5.93,84.96
vgg16,stl10,pool,tafe,0.01,30,10,45.7,0.97,44.12,47.19,5.08,94.92
