Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,bird,pool,Baseline,None,30,10,48.36,1.42,45.29,51.1,23.15,0.0
inceptionv3,bird,pool,tafe,0.0,30,10,48.58,1.49,46.49,51.4,23.97,0.0
inceptionv3,bird,pool,tafe,1e-45,30,10,50.53,1.13,48.73,52.22,21.46,25.63
inceptionv3,bird,pool,tafe,1e-25,30,10,51.08,0.88,49.94,52.69,15.76,53.47
inceptionv3,bird,pool,tafe,1e-15,30,10,51.09,0.8,49.85,52.22,14.37,66.31
inceptionv3,bird,pool,tafe,1e-05,30,10,48.69,0.36,48.13,49.46,10.62,86.18
inceptionv3,bird,pool,tafe,0.01,30,10,40.6,0.76,39.78,41.97,9.35,95.21
xception,bird,pool,Baseline,None,30,10,52.01,0.86,50.88,53.77,22.44,0.0
xception,bird,pool,tafe,0.0,30,10,52.18,1.1,49.85,53.59,25.23,1.56
xception,bird,pool,tafe,1e-45,30,10,52.08,0.94,50.06,53.55,26.44,8.25
xception,bird,pool,tafe,1e-25,30,10,51.95,0.81,50.28,52.78,19.71,13.13
xception,bird,pool,tafe,1e-15,30,10,52.15,1.11,50.02,53.42,22.72,17.87
xception,bird,pool,tafe,1e-05,30,10,52.2,1.16,49.33,53.85,19.67,31.1
xception,bird,pool,tafe,0.01,30,10,52.27,0.66,51.1,53.16,16.6,46.58
vgg16,bird,pool,Baseline,None,30,10,25.81,1.87,20.88,28.11,23.44,0.0
vgg16,bird,pool,tafe,0.0,30,10,25.69,1.85,20.45,27.85,24.51,0.98
vgg16,bird,pool,tafe,1e-45,30,10,21.66,1.26,18.73,22.9,22.94,52.15
vgg16,bird,pool,tafe,1e-25,30,10,18.82,0.91,17.22,20.32,18.83,67.77
vgg16,bird,pool,tafe,1e-15,30,10,16.09,0.93,14.25,17.52,15.12,77.54
vgg16,bird,pool,tafe,1e-05,30,10,8.75,0.75,6.93,9.56,13.72,92.38
vgg16,bird,pool,tafe,0.01,30,10,4.21,0.43,3.44,4.86,9.84,97.46
densenet201,bird,pool,Baseline,None,30,10,62.0,0.76,60.78,63.28,22.47,0.0
densenet201,bird,pool,tafe,0.0,30,10,61.64,1.25,58.5,63.45,21.03,0.0
densenet201,bird,pool,tafe,1e-45,30,10,61.43,0.88,60.05,63.02,20.62,17.81
densenet201,bird,pool,tafe,1e-25,30,10,60.03,0.96,58.24,61.69,15.59,34.06
densenet201,bird,pool,tafe,1e-15,30,10,59.15,1.08,57.38,61.13,14.5,47.5
densenet201,bird,pool,tafe,1e-05,30,10,52.42,0.62,51.4,53.51,13.55,75.47
densenet201,bird,pool,tafe,0.01,30,10,38.9,0.77,37.93,40.21,11.15,89.53
