Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,aquaticmammals,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,250.47,0.0
resnet50,aquaticmammals,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,98.78,66.41
resnet50,aquaticmammals,dense,tafe,1e-45,30,10,22.08,1.19,19.6,23.8,21.76,95.31
resnet50,aquaticmammals,dense,tafe,1e-25,30,10,21.08,1.05,19.2,22.6,20.48,95.95
resnet50,aquaticmammals,dense,tafe,1e-15,30,10,21.12,0.57,19.8,21.8,19.73,96.34
resnet50,aquaticmammals,dense,tafe,1e-05,30,10,20.8,0.25,20.4,21.2,14.11,97.95
inceptionv3,aquaticmammals,dense,Baseline,None,30,10,51.64,8.74,34.8,65.6,55.91,0.0
inceptionv3,aquaticmammals,dense,tafe,0.0,30,10,56.9,6.58,40.8,62.4,59.46,4.83
inceptionv3,aquaticmammals,dense,tafe,1e-45,30,10,50.68,3.53,43.0,56.8,5.57,96.58
inceptionv3,aquaticmammals,dense,tafe,1e-25,30,10,45.76,3.56,38.8,51.2,4.89,98.14
inceptionv3,aquaticmammals,dense,tafe,1e-15,30,10,40.68,1.52,37.8,42.6,3.79,99.07
inceptionv3,aquaticmammals,dense,tafe,1e-05,30,10,28.72,1.11,26.8,30.6,2.43,99.9
vgg16,aquaticmammals,dense,Baseline,None,30,10,39.2,3.75,34.4,44.2,51.71,0.0
vgg16,aquaticmammals,dense,tafe,0.0,30,10,35.34,4.68,23.6,42.2,36.72,1.37
vgg16,aquaticmammals,dense,tafe,1e-45,30,10,21.98,1.12,20.0,23.4,5.28,88.09
vgg16,aquaticmammals,dense,tafe,1e-25,30,10,20.74,0.57,20.2,21.8,4.15,92.97
vgg16,aquaticmammals,dense,tafe,1e-15,30,10,20.02,0.14,19.8,20.2,2.33,95.51
vgg16,aquaticmammals,dense,tafe,1e-05,30,10,20.02,0.17,19.8,20.4,2.16,97.85
xception,aquaticmammals,dense,Baseline,None,30,10,65.2,4.09,58.2,70.2,228.28,0.0
xception,aquaticmammals,dense,tafe,0.0,30,10,61.92,4.48,54.6,67.8,163.98,0.39
xception,aquaticmammals,dense,tafe,1e-45,30,10,65.32,1.64,62.8,68.2,116.06,37.79
xception,aquaticmammals,dense,tafe,1e-25,30,10,66.2,3.11,58.0,69.6,98.5,47.46
xception,aquaticmammals,dense,tafe,1e-15,30,10,66.96,2.74,59.8,69.6,94.9,56.4
xception,aquaticmammals,dense,tafe,1e-05,30,10,66.42,1.95,63.4,70.4,52.4,76.51
