Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,fish,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,243.2,0.0
resnet50,fish,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,101.92,64.79
resnet50,fish,dense,tafe,1e-45,30,10,24.36,1.32,22.0,25.8,26.07,93.51
resnet50,fish,dense,tafe,1e-25,30,10,22.22,0.51,21.4,23.2,23.77,94.19
resnet50,fish,dense,tafe,1e-15,30,10,20.74,0.5,19.8,21.4,22.49,94.97
resnet50,fish,dense,tafe,1e-05,30,10,20.16,0.12,20.0,20.4,18.88,96.78
inceptionv3,fish,dense,Baseline,None,30,10,72.14,5.12,60.0,77.4,71.42,0.0
inceptionv3,fish,dense,tafe,0.0,30,10,71.56,4.42,61.4,76.2,56.09,4.74
inceptionv3,fish,dense,tafe,1e-45,30,10,64.08,4.25,55.4,67.6,6.24,96.34
inceptionv3,fish,dense,tafe,1e-25,30,10,57.18,2.57,52.6,62.8,3.71,98.05
inceptionv3,fish,dense,tafe,1e-15,30,10,56.04,1.58,53.2,57.8,3.82,98.93
inceptionv3,fish,dense,tafe,1e-05,30,10,37.5,1.37,35.6,40.2,2.73,99.8
vgg16,fish,dense,Baseline,None,30,10,49.14,10.35,30.4,65.4,29.55,0.0
vgg16,fish,dense,tafe,0.0,30,10,52.98,9.17,34.4,64.2,32.65,0.98
vgg16,fish,dense,tafe,1e-45,30,10,22.8,1.32,21.2,25.0,5.39,89.26
vgg16,fish,dense,tafe,1e-25,30,10,21.2,1.27,20.0,23.2,2.92,93.95
vgg16,fish,dense,tafe,1e-15,30,10,20.16,0.29,20.0,21.0,2.32,96.29
vgg16,fish,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.89,99.41
xception,fish,dense,Baseline,None,30,10,76.1,1.55,73.6,78.2,153.6,0.0
xception,fish,dense,tafe,0.0,30,10,76.64,1.87,72.8,79.8,164.63,0.44
xception,fish,dense,tafe,1e-45,30,10,77.3,1.86,73.8,79.8,106.06,39.06
xception,fish,dense,tafe,1e-25,30,10,76.86,2.87,69.0,79.4,84.57,47.85
xception,fish,dense,tafe,1e-15,30,10,78.1,0.93,76.4,79.6,87.31,56.74
xception,fish,dense,tafe,1e-05,30,10,76.78,0.98,75.2,78.6,44.42,76.07
