Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,flowers,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,242.33,0.0
resnet50,flowers,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,99.44,65.92
resnet50,flowers,dense,tafe,1e-45,30,10,23.78,0.44,23.0,24.4,21.38,95.17
resnet50,flowers,dense,tafe,1e-25,30,10,21.32,0.53,20.4,22.2,20.88,95.8
resnet50,flowers,dense,tafe,1e-15,30,10,21.0,0.4,20.4,21.8,19.07,96.68
resnet50,flowers,dense,tafe,1e-05,30,10,20.48,0.26,20.0,21.0,15.86,97.71
inceptionv3,flowers,dense,Baseline,None,30,10,61.36,5.82,49.4,67.6,73.83,0.0
inceptionv3,flowers,dense,tafe,0.0,30,10,59.22,4.99,50.8,66.0,55.23,4.79
inceptionv3,flowers,dense,tafe,1e-45,30,10,53.04,1.77,49.8,55.8,5.33,97.36
inceptionv3,flowers,dense,tafe,1e-25,30,10,50.16,1.93,45.4,53.0,4.47,98.24
inceptionv3,flowers,dense,tafe,1e-15,30,10,45.9,2.49,41.8,49.2,3.89,99.02
inceptionv3,flowers,dense,tafe,1e-05,30,10,29.52,1.92,25.2,32.2,2.93,99.8
vgg16,flowers,dense,Baseline,None,30,10,48.4,5.22,39.6,58.0,34.19,0.0
vgg16,flowers,dense,tafe,0.0,30,10,46.74,6.78,35.8,58.8,35.04,0.39
vgg16,flowers,dense,tafe,1e-45,30,10,21.78,1.09,20.0,24.0,4.34,91.99
vgg16,flowers,dense,tafe,1e-25,30,10,20.08,0.24,19.6,20.4,2.32,95.7
vgg16,flowers,dense,tafe,1e-15,30,10,20.08,0.13,20.0,20.4,2.42,97.27
vgg16,flowers,dense,tafe,1e-05,30,10,20.0,0.09,19.8,20.2,1.8,98.83
xception,flowers,dense,Baseline,None,30,10,69.56,3.07,61.4,73.2,235.25,0.0
xception,flowers,dense,tafe,0.0,30,10,68.56,2.81,62.8,71.6,201.15,0.49
xception,flowers,dense,tafe,1e-45,30,10,69.12,2.95,63.0,73.0,102.1,41.65
xception,flowers,dense,tafe,1e-25,30,10,70.56,2.0,67.2,73.0,113.67,51.27
xception,flowers,dense,tafe,1e-15,30,10,68.76,2.59,62.4,71.6,81.55,60.21
xception,flowers,dense,tafe,1e-05,30,10,67.58,3.35,58.6,72.2,41.66,78.71
