Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,foodcontainers,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,253.29,0.0
resnet50,foodcontainers,dense,tafe,0.0,30,10,26.28,7.54,20.0,40.2,113.81,62.06
resnet50,foodcontainers,dense,tafe,1e-45,30,10,25.68,0.87,24.2,27.4,30.72,91.75
resnet50,foodcontainers,dense,tafe,1e-25,30,10,23.04,1.0,21.6,24.4,29.16,92.48
resnet50,foodcontainers,dense,tafe,1e-15,30,10,22.28,0.67,21.2,23.4,26.49,93.26
resnet50,foodcontainers,dense,tafe,1e-05,30,10,20.36,0.45,19.6,21.0,20.14,95.46
inceptionv3,foodcontainers,dense,Baseline,None,30,10,77.62,4.94,68.6,83.2,40.82,0.0
inceptionv3,foodcontainers,dense,tafe,0.0,30,10,80.46,3.56,74.2,84.8,51.91,4.59
inceptionv3,foodcontainers,dense,tafe,1e-45,30,10,76.56,1.88,73.8,80.8,6.19,96.04
inceptionv3,foodcontainers,dense,tafe,1e-25,30,10,73.98,3.95,63.8,77.6,5.33,98.1
inceptionv3,foodcontainers,dense,tafe,1e-15,30,10,68.58,2.61,64.6,71.4,4.28,98.93
inceptionv3,foodcontainers,dense,tafe,1e-05,30,10,40.2,2.07,36.6,43.6,2.78,99.9
vgg16,foodcontainers,dense,Baseline,None,30,10,65.58,4.65,53.6,71.8,37.58,0.0
vgg16,foodcontainers,dense,tafe,0.0,30,10,66.56,7.04,50.2,75.0,56.97,0.2
vgg16,foodcontainers,dense,tafe,1e-45,30,10,21.62,0.75,20.6,23.2,4.77,94.92
vgg16,foodcontainers,dense,tafe,1e-25,30,10,20.6,0.7,19.8,21.8,3.44,97.27
vgg16,foodcontainers,dense,tafe,1e-15,30,10,19.84,0.2,19.4,20.0,3.18,98.24
vgg16,foodcontainers,dense,tafe,1e-05,30,10,19.98,0.06,19.8,20.0,3.96,99.41
xception,foodcontainers,dense,Baseline,None,30,10,83.22,1.49,79.6,85.6,142.65,0.0
xception,foodcontainers,dense,tafe,0.0,30,10,83.2,2.21,80.4,86.6,165.2,0.49
xception,foodcontainers,dense,tafe,1e-45,30,10,83.44,2.21,79.2,86.2,93.19,38.57
xception,foodcontainers,dense,tafe,1e-25,30,10,82.86,3.14,76.4,86.2,69.79,48.63
xception,foodcontainers,dense,tafe,1e-15,30,10,83.38,1.93,79.8,86.2,62.32,57.42
xception,foodcontainers,dense,tafe,1e-05,30,10,83.62,0.8,82.2,85.2,29.87,76.56
