Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,householdelectricaldevices,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,238.29,0.0
resnet50,householdelectricaldevices,dense,tafe,0.0,30,10,23.28,4.37,20.0,31.4,102.84,62.5
resnet50,householdelectricaldevices,dense,tafe,1e-45,30,10,26.02,1.88,23.0,29.2,24.05,93.07
resnet50,householdelectricaldevices,dense,tafe,1e-25,30,10,24.96,1.29,22.8,26.8,21.28,94.04
resnet50,householdelectricaldevices,dense,tafe,1e-15,30,10,24.04,1.35,21.8,25.8,19.16,95.02
resnet50,householdelectricaldevices,dense,tafe,1e-05,30,10,21.62,0.38,20.8,22.2,15.81,97.41
inceptionv3,householdelectricaldevices,dense,Baseline,None,30,10,88.76,1.9,84.0,90.6,58.15,0.0
inceptionv3,householdelectricaldevices,dense,tafe,0.0,30,10,87.82,1.87,84.4,90.6,51.7,4.35
inceptionv3,householdelectricaldevices,dense,tafe,1e-45,30,10,82.76,1.3,80.6,84.2,4.96,95.8
inceptionv3,householdelectricaldevices,dense,tafe,1e-25,30,10,80.82,1.11,78.6,83.0,4.66,97.66
inceptionv3,householdelectricaldevices,dense,tafe,1e-15,30,10,74.02,2.37,69.8,76.6,4.18,98.78
inceptionv3,householdelectricaldevices,dense,tafe,1e-05,30,10,46.68,1.9,44.2,50.2,3.62,99.8
vgg16,householdelectricaldevices,dense,Baseline,None,30,10,68.04,3.73,62.2,73.0,47.75,0.0
vgg16,householdelectricaldevices,dense,tafe,0.0,30,10,68.08,5.17,59.4,74.6,49.7,0.0
vgg16,householdelectricaldevices,dense,tafe,1e-45,30,10,24.84,1.63,20.2,26.0,4.24,94.34
vgg16,householdelectricaldevices,dense,tafe,1e-25,30,10,20.66,0.68,20.0,21.6,5.75,97.07
vgg16,householdelectricaldevices,dense,tafe,1e-15,30,10,20.34,0.3,20.0,20.8,5.43,98.44
vgg16,householdelectricaldevices,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.05,99.8
xception,householdelectricaldevices,dense,Baseline,None,30,10,89.18,1.81,84.0,90.8,117.55,0.0
xception,householdelectricaldevices,dense,tafe,0.0,30,10,89.74,1.11,87.8,91.2,131.3,0.39
xception,householdelectricaldevices,dense,tafe,1e-45,30,10,89.62,1.35,87.4,91.4,62.37,37.6
xception,householdelectricaldevices,dense,tafe,1e-25,30,10,89.98,1.7,87.0,92.0,114.72,47.12
xception,householdelectricaldevices,dense,tafe,1e-15,30,10,89.64,2.94,81.6,92.2,95.28,55.47
xception,householdelectricaldevices,dense,tafe,1e-05,30,10,89.9,0.96,88.0,91.6,68.34,76.03
