Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,largenaturaloutdoorscenes,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,220.86,0.0
resnet50,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,24.82,6.19,20.0,36.6,89.19,66.99
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,25.08,1.95,21.2,26.8,20.23,94.68
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,24.5,0.96,23.0,26.2,19.32,95.07
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,21.76,0.56,20.2,22.4,17.21,96.04
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,20.82,0.39,20.0,21.2,14.4,97.46
inceptionv3,largenaturaloutdoorscenes,dense,Baseline,None,30,10,78.84,3.47,72.4,83.8,58.46,0.0
inceptionv3,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,80.34,2.31,74.2,83.0,62.95,5.08
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,69.4,2.07,65.8,71.4,4.38,98.39
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,66.78,1.42,64.4,69.4,3.46,98.93
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,56.48,1.05,55.2,58.0,3.78,99.32
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,26.76,0.9,25.0,28.4,2.69,99.95
vgg16,largenaturaloutdoorscenes,dense,Baseline,None,30,10,60.26,7.09,47.6,71.8,42.92,0.0
vgg16,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,57.92,11.37,35.0,73.2,41.42,5.27
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,21.22,1.22,19.6,23.4,7.34,83.01
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,20.62,0.89,19.6,22.2,5.94,86.52
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,20.16,0.25,20.0,20.8,3.99,89.65
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,20.08,0.31,19.6,20.8,3.15,95.31
xception,largenaturaloutdoorscenes,dense,Baseline,None,30,10,82.02,2.14,78.4,85.4,115.21,0.0
xception,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,83.62,2.67,78.8,86.8,155.33,0.39
xception,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,83.2,2.67,78.4,86.0,75.72,46.88
xception,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,83.3,1.38,80.4,85.2,53.13,58.06
xception,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,84.14,1.79,80.6,85.8,56.9,67.04
xception,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,82.1,1.75,78.0,84.4,24.55,83.5
