Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,largeomnivoresandherbivores,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,219.89,0.0
resnet50,largeomnivoresandherbivores,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,92.05,66.06
resnet50,largeomnivoresandherbivores,dense,tafe,1e-45,30,10,24.66,1.74,21.2,27.0,18.87,95.21
resnet50,largeomnivoresandherbivores,dense,tafe,1e-25,30,10,21.98,1.26,20.0,23.6,17.07,96.14
resnet50,largeomnivoresandherbivores,dense,tafe,1e-15,30,10,22.02,0.93,19.6,22.8,16.19,96.53
resnet50,largeomnivoresandherbivores,dense,tafe,1e-05,30,10,20.26,0.13,20.0,20.4,12.32,98.34
inceptionv3,largeomnivoresandherbivores,dense,Baseline,None,30,10,79.48,3.39,70.2,82.4,56.95,0.0
inceptionv3,largeomnivoresandherbivores,dense,tafe,0.0,30,10,77.4,2.67,73.0,80.8,43.49,4.15
inceptionv3,largeomnivoresandherbivores,dense,tafe,1e-45,30,10,70.26,1.69,67.2,73.0,7.07,95.9
inceptionv3,largeomnivoresandherbivores,dense,tafe,1e-25,30,10,65.12,1.36,62.4,67.8,4.98,97.8
inceptionv3,largeomnivoresandherbivores,dense,tafe,1e-15,30,10,58.78,1.51,56.8,61.6,4.19,98.93
inceptionv3,largeomnivoresandherbivores,dense,tafe,1e-05,30,10,41.62,1.45,39.6,43.4,3.49,99.85
vgg16,largeomnivoresandherbivores,dense,Baseline,None,30,10,45.52,6.59,38.0,58.8,50.38,0.0
vgg16,largeomnivoresandherbivores,dense,tafe,0.0,30,10,45.58,6.31,35.6,54.6,50.84,1.17
vgg16,largeomnivoresandherbivores,dense,tafe,1e-45,30,10,20.74,0.7,20.0,22.2,8.67,86.52
vgg16,largeomnivoresandherbivores,dense,tafe,1e-25,30,10,20.1,0.16,20.0,20.4,4.42,90.62
vgg16,largeomnivoresandherbivores,dense,tafe,1e-15,30,10,20.0,0.09,19.8,20.2,2.71,94.53
vgg16,largeomnivoresandherbivores,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.14,97.85
xception,largeomnivoresandherbivores,dense,Baseline,None,30,10,80.12,2.33,74.8,82.2,112.57,0.0
xception,largeomnivoresandherbivores,dense,tafe,0.0,30,10,79.8,1.65,76.0,82.4,91.34,0.49
xception,largeomnivoresandherbivores,dense,tafe,1e-45,30,10,80.82,2.29,76.0,83.8,71.0,36.52
xception,largeomnivoresandherbivores,dense,tafe,1e-25,30,10,81.2,1.31,79.2,83.8,63.08,44.78
xception,largeomnivoresandherbivores,dense,tafe,1e-15,30,10,80.46,1.34,78.0,82.8,43.3,54.69
xception,largeomnivoresandherbivores,dense,tafe,1e-05,30,10,80.64,1.26,78.8,82.2,28.21,76.07
