Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,non-insectinvertebrates,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,219.48,0.0
resnet50,non-insectinvertebrates,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,94.1,64.26
resnet50,non-insectinvertebrates,dense,tafe,1e-45,30,10,25.98,2.76,21.6,28.8,24.04,93.6
resnet50,non-insectinvertebrates,dense,tafe,1e-25,30,10,24.4,0.7,22.6,24.8,21.99,94.04
resnet50,non-insectinvertebrates,dense,tafe,1e-15,30,10,23.58,1.33,20.6,25.2,20.02,94.92
resnet50,non-insectinvertebrates,dense,tafe,1e-05,30,10,21.82,0.67,20.0,22.6,16.23,96.58
inceptionv3,non-insectinvertebrates,dense,Baseline,None,30,10,77.94,4.85,69.0,83.2,65.7,0.0
inceptionv3,non-insectinvertebrates,dense,tafe,0.0,30,10,77.94,4.5,68.8,82.8,54.79,4.3
inceptionv3,non-insectinvertebrates,dense,tafe,1e-45,30,10,70.38,1.11,68.4,72.4,5.55,96.0
inceptionv3,non-insectinvertebrates,dense,tafe,1e-25,30,10,64.82,1.04,63.6,66.6,4.67,98.14
inceptionv3,non-insectinvertebrates,dense,tafe,1e-15,30,10,56.22,3.6,49.4,62.2,3.96,98.88
inceptionv3,non-insectinvertebrates,dense,tafe,1e-05,30,10,42.38,2.48,38.2,47.8,2.8,99.61
vgg16,non-insectinvertebrates,dense,Baseline,None,30,10,55.68,9.67,34.2,67.6,47.04,0.0
vgg16,non-insectinvertebrates,dense,tafe,0.0,30,10,50.02,8.97,32.8,60.0,36.66,0.59
vgg16,non-insectinvertebrates,dense,tafe,1e-45,30,10,23.08,1.24,20.0,25.0,3.53,92.38
vgg16,non-insectinvertebrates,dense,tafe,1e-25,30,10,21.9,1.01,20.0,22.8,3.03,96.68
vgg16,non-insectinvertebrates,dense,tafe,1e-15,30,10,20.38,0.32,20.0,21.0,2.73,98.05
vgg16,non-insectinvertebrates,dense,tafe,1e-05,30,10,20.02,0.06,20.0,20.2,1.72,99.8
xception,non-insectinvertebrates,dense,Baseline,None,30,10,80.44,2.92,75.6,84.6,156.52,0.0
xception,non-insectinvertebrates,dense,tafe,0.0,30,10,80.88,2.88,75.2,84.6,158.13,0.49
xception,non-insectinvertebrates,dense,tafe,1e-45,30,10,81.62,1.24,79.4,83.0,99.92,37.11
xception,non-insectinvertebrates,dense,tafe,1e-25,30,10,82.1,1.34,79.8,84.2,87.15,45.95
xception,non-insectinvertebrates,dense,tafe,1e-15,30,10,81.18,1.85,77.8,83.8,80.37,54.1
xception,non-insectinvertebrates,dense,tafe,1e-05,30,10,80.74,1.45,79.0,83.6,39.13,75.68
