Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,people,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,221.33,0.0
resnet50,people,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,94.87,65.09
resnet50,people,dense,tafe,1e-45,30,10,22.48,1.53,19.4,24.4,20.2,94.58
resnet50,people,dense,tafe,1e-25,30,10,21.06,1.07,19.2,22.4,18.88,95.21
resnet50,people,dense,tafe,1e-15,30,10,20.38,1.06,18.6,21.6,17.4,96.0
resnet50,people,dense,tafe,1e-05,30,10,20.12,0.31,19.4,20.4,15.29,97.22
inceptionv3,people,dense,Baseline,None,30,10,38.2,4.82,31.6,47.2,63.24,0.0
inceptionv3,people,dense,tafe,0.0,30,10,33.22,5.15,26.8,43.0,39.77,4.49
inceptionv3,people,dense,tafe,1e-45,30,10,36.42,3.42,29.4,41.2,5.11,96.73
inceptionv3,people,dense,tafe,1e-25,30,10,35.4,2.55,30.0,38.0,4.13,98.58
inceptionv3,people,dense,tafe,1e-15,30,10,33.18,3.34,27.2,38.0,3.5,99.07
inceptionv3,people,dense,tafe,1e-05,30,10,26.86,1.81,24.0,29.2,2.68,99.85
vgg16,people,dense,Baseline,None,30,10,20.44,1.76,18.8,25.6,19.31,0.0
vgg16,people,dense,tafe,0.0,30,10,19.98,0.06,19.8,20.0,26.12,0.78
vgg16,people,dense,tafe,1e-45,30,10,20.26,0.55,19.6,21.6,3.45,93.95
vgg16,people,dense,tafe,1e-25,30,10,20.24,0.39,19.8,21.2,3.79,96.09
vgg16,people,dense,tafe,1e-15,30,10,19.94,0.18,19.4,20.0,4.32,97.66
vgg16,people,dense,tafe,1e-05,30,10,19.96,0.08,19.8,20.0,4.69,98.83
xception,people,dense,Baseline,None,30,10,43.96,4.35,34.2,49.4,106.08,0.0
xception,people,dense,tafe,0.0,30,10,46.86,3.36,40.6,50.4,154.29,0.54
xception,people,dense,tafe,1e-45,30,10,47.66,3.11,42.0,51.8,85.12,41.41
xception,people,dense,tafe,1e-25,30,10,47.92,2.22,44.0,50.6,71.61,51.61
xception,people,dense,tafe,1e-15,30,10,49.4,1.53,45.8,51.2,59.11,60.94
xception,people,dense,tafe,1e-05,30,10,48.76,1.87,45.0,51.6,27.42,80.03
