Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,reptiles,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,223.33,0.0
resnet50,reptiles,dense,tafe,0.0,30,10,28.78,6.29,20.0,35.8,94.89,65.19
resnet50,reptiles,dense,tafe,1e-45,30,10,25.98,1.46,23.0,27.2,21.15,94.38
resnet50,reptiles,dense,tafe,1e-25,30,10,24.68,0.84,23.0,25.8,19.92,94.92
resnet50,reptiles,dense,tafe,1e-15,30,10,23.1,1.4,20.2,24.4,17.96,95.65
resnet50,reptiles,dense,tafe,1e-05,30,10,20.3,0.13,20.0,20.4,14.39,97.46
inceptionv3,reptiles,dense,Baseline,None,30,10,70.0,3.65,64.2,76.8,47.87,0.0
inceptionv3,reptiles,dense,tafe,0.0,30,10,66.86,5.07,58.8,74.8,45.06,4.59
inceptionv3,reptiles,dense,tafe,1e-45,30,10,62.5,4.02,52.2,67.6,5.27,95.9
inceptionv3,reptiles,dense,tafe,1e-25,30,10,62.66,1.82,59.2,65.6,6.29,97.61
inceptionv3,reptiles,dense,tafe,1e-15,30,10,57.22,1.82,54.6,61.2,4.84,98.58
inceptionv3,reptiles,dense,tafe,1e-05,30,10,35.1,0.69,34.0,36.0,2.9,99.85
vgg16,reptiles,dense,Baseline,None,30,10,47.68,4.62,41.0,56.8,39.64,0.0
vgg16,reptiles,dense,tafe,0.0,30,10,48.14,7.23,31.4,58.0,45.9,0.78
vgg16,reptiles,dense,tafe,1e-45,30,10,23.38,1.42,22.2,26.6,8.15,89.84
vgg16,reptiles,dense,tafe,1e-25,30,10,21.24,1.01,20.0,22.8,4.03,94.92
vgg16,reptiles,dense,tafe,1e-15,30,10,20.46,0.61,19.8,21.6,3.11,96.68
vgg16,reptiles,dense,tafe,1e-05,30,10,19.86,0.16,19.6,20.0,2.58,99.41
xception,reptiles,dense,Baseline,None,30,10,77.0,2.96,70.2,80.8,168.2,0.0
xception,reptiles,dense,tafe,0.0,30,10,77.2,2.26,72.4,79.6,164.66,0.49
xception,reptiles,dense,tafe,1e-45,30,10,77.18,1.61,75.0,80.0,95.61,37.11
xception,reptiles,dense,tafe,1e-25,30,10,77.96,1.69,75.0,79.8,79.47,46.09
xception,reptiles,dense,tafe,1e-15,30,10,78.5,1.44,75.6,80.6,70.07,54.44
xception,reptiles,dense,tafe,1e-05,30,10,75.32,1.6,72.4,77.2,40.99,75.83
