Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,smallmammals,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,40.4,0.0
resnet50,smallmammals,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,16.31,67.53
resnet50,smallmammals,dense,tafe,1e-45,30,10,20.04,0.08,20.0,20.2,4.72,96.24
resnet50,smallmammals,dense,tafe,1e-25,30,10,20.0,0.24,19.6,20.4,4.73,96.73
resnet50,smallmammals,dense,tafe,1e-15,30,10,20.02,0.06,20.0,20.2,3.92,96.97
resnet50,smallmammals,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.84,98.44
inceptionv3,smallmammals,dense,Baseline,None,30,10,54.66,8.05,36.6,63.6,63.88,0.0
inceptionv3,smallmammals,dense,tafe,0.0,30,10,53.32,6.49,43.0,62.8,52.52,4.69
inceptionv3,smallmammals,dense,tafe,1e-45,30,10,52.16,2.68,47.6,56.4,6.38,96.29
inceptionv3,smallmammals,dense,tafe,1e-25,30,10,45.66,2.6,39.6,48.4,4.7,97.75
inceptionv3,smallmammals,dense,tafe,1e-15,30,10,41.6,3.2,33.8,45.6,3.91,98.83
inceptionv3,smallmammals,dense,tafe,1e-05,30,10,25.76,1.17,23.2,27.2,3.09,99.85
vgg16,smallmammals,dense,Baseline,None,30,10,27.86,5.39,19.8,37.8,44.17,0.0
vgg16,smallmammals,dense,tafe,0.0,30,10,29.72,6.37,19.8,37.8,49.09,2.15
vgg16,smallmammals,dense,tafe,1e-45,30,10,19.84,0.23,19.4,20.0,6.72,86.13
vgg16,smallmammals,dense,tafe,1e-25,30,10,20.16,0.22,20.0,20.6,4.58,89.65
vgg16,smallmammals,dense,tafe,1e-15,30,10,20.04,0.08,20.0,20.2,4.8,93.55
vgg16,smallmammals,dense,tafe,1e-05,30,10,20.12,0.13,20.0,20.4,5.31,98.24
xception,smallmammals,dense,Baseline,None,30,10,65.1,4.09,57.2,69.8,149.42,0.0
xception,smallmammals,dense,tafe,0.0,30,10,62.88,4.56,50.8,67.2,139.62,0.49
xception,smallmammals,dense,tafe,1e-45,30,10,67.02,3.24,61.4,70.8,102.39,36.72
xception,smallmammals,dense,tafe,1e-25,30,10,66.28,2.9,59.0,70.2,77.57,45.41
xception,smallmammals,dense,tafe,1e-15,30,10,67.92,3.75,57.8,72.2,72.61,54.39
xception,smallmammals,dense,tafe,1e-05,30,10,65.26,2.19,62.4,69.0,35.73,75.2
