Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,trees,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,40.42,0.0
resnet50,trees,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,16.06,67.14
resnet50,trees,dense,tafe,1e-45,30,10,22.64,0.9,20.2,23.8,6.17,95.56
resnet50,trees,dense,tafe,1e-25,30,10,20.4,0.51,20.0,21.6,6.36,96.19
resnet50,trees,dense,tafe,1e-15,30,10,20.28,0.4,20.0,21.0,4.32,96.63
resnet50,trees,dense,tafe,1e-05,30,10,20.02,0.06,20.0,20.2,3.93,98.05
vgg16,trees,dense,Baseline,None,30,10,46.0,4.33,40.4,54.6,47.53,0.0
vgg16,trees,dense,tafe,0.0,30,10,47.58,6.81,32.6,57.6,49.91,3.12
vgg16,trees,dense,tafe,1e-45,30,10,21.84,1.28,20.0,23.4,6.5,86.52
vgg16,trees,dense,tafe,1e-25,30,10,20.66,0.7,20.0,21.8,6.0,88.87
vgg16,trees,dense,tafe,1e-15,30,10,20.26,0.32,20.0,20.8,4.81,91.8
vgg16,trees,dense,tafe,1e-05,30,10,20.02,0.11,19.8,20.2,3.18,96.88
inceptionv3,trees,dense,Baseline,None,30,10,54.22,6.75,41.8,63.0,53.98,0.0
inceptionv3,trees,dense,tafe,0.0,30,10,57.14,6.96,41.4,62.6,63.82,5.32
inceptionv3,trees,dense,tafe,1e-45,30,10,47.02,1.95,43.6,49.2,4.53,98.44
inceptionv3,trees,dense,tafe,1e-25,30,10,45.22,2.13,42.4,49.2,3.68,99.02
inceptionv3,trees,dense,tafe,1e-15,30,10,40.38,1.45,37.6,42.0,3.3,99.56
inceptionv3,trees,dense,tafe,1e-05,30,10,28.22,2.59,22.8,32.2,2.92,99.9
xception,trees,dense,Baseline,None,30,10,61.14,2.04,57.6,64.4,130.61,0.0
xception,trees,dense,tafe,0.0,30,10,62.64,1.83,60.2,65.6,174.79,0.49
xception,trees,dense,tafe,1e-45,30,10,61.0,2.62,56.2,64.2,78.69,51.03
xception,trees,dense,tafe,1e-25,30,10,60.38,2.94,54.8,63.8,53.76,62.5
xception,trees,dense,tafe,1e-15,30,10,60.92,2.09,57.6,63.4,46.74,70.7
xception,trees,dense,tafe,1e-05,30,10,60.92,1.74,58.0,63.8,28.75,84.86
