Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,vehicles1,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,40.47,0.0
resnet50,vehicles1,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,16.75,64.7
resnet50,vehicles1,dense,tafe,1e-45,30,10,22.66,1.49,19.8,24.8,6.89,94.68
resnet50,vehicles1,dense,tafe,1e-25,30,10,20.84,0.92,19.4,22.0,6.93,95.65
resnet50,vehicles1,dense,tafe,1e-15,30,10,21.72,0.63,20.0,22.6,5.72,96.29
resnet50,vehicles1,dense,tafe,1e-05,30,10,20.3,0.18,20.0,20.6,3.86,98.1
inceptionv3,vehicles1,dense,Baseline,None,30,10,79.0,2.31,73.6,81.8,51.37,0.0
inceptionv3,vehicles1,dense,tafe,0.0,30,10,78.7,3.22,71.8,83.2,63.38,4.74
inceptionv3,vehicles1,dense,tafe,1e-45,30,10,70.4,1.86,66.4,73.0,6.67,96.73
inceptionv3,vehicles1,dense,tafe,1e-25,30,10,66.12,2.41,61.8,69.6,5.01,98.29
inceptionv3,vehicles1,dense,tafe,1e-15,30,10,57.58,1.88,53.8,60.6,4.0,99.12
vgg16,vehicles1,dense,Baseline,None,30,10,62.84,7.69,51.8,74.0,44.11,0.0
vgg16,vehicles1,dense,tafe,0.0,30,10,66.64,5.77,56.6,73.6,47.1,0.39
vgg16,vehicles1,dense,tafe,1e-45,30,10,22.7,1.86,20.0,25.2,6.27,92.77
vgg16,vehicles1,dense,tafe,1e-25,30,10,20.1,0.16,20.0,20.4,3.73,95.7
vgg16,vehicles1,dense,tafe,1e-15,30,10,20.04,0.08,20.0,20.2,2.71,97.27
vgg16,vehicles1,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.37,99.41
xception,vehicles1,dense,Baseline,None,30,10,78.34,1.95,75.4,80.6,126.85,0.0
xception,vehicles1,dense,tafe,0.0,30,10,78.42,2.49,73.2,81.6,121.15,0.59
xception,vehicles1,dense,tafe,1e-45,30,10,78.86,1.61,76.6,81.0,65.8,41.46
xception,vehicles1,dense,tafe,1e-25,30,10,79.88,1.32,77.0,81.4,56.62,50.59
xception,vehicles1,dense,tafe,1e-15,30,10,80.06,1.92,75.4,82.8,51.04,58.98
xception,vehicles1,dense,tafe,1e-05,30,10,79.4,1.1,76.8,80.4,29.49,78.08
