Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,foodcontainers,dense,Baseline,None,30,10,24.4,6.74,20.0,39.8,43.9,0.0
inceptionv3,foodcontainers,dense,tafe,0.0,30,10,21.72,2.53,20.0,28.0,39.44,4.49
inceptionv3,foodcontainers,dense,tafe,1e-45,30,10,61.36,6.65,49.0,72.4,4.41,96.19
inceptionv3,foodcontainers,dense,tafe,1e-25,30,10,61.44,4.21,50.0,65.4,4.28,98.24
inceptionv3,foodcontainers,dense,tafe,1e-15,30,10,60.28,3.57,53.6,65.0,4.2,98.83
inceptionv3,foodcontainers,dense,tafe,1e-05,30,10,37.7,5.68,31.2,44.6,3.16,99.8
resnet50,foodcontainers,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,55.88,0.0
resnet50,foodcontainers,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,23.95,61.43
resnet50,foodcontainers,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,7.45,91.5
resnet50,foodcontainers,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,6.35,92.09
resnet50,foodcontainers,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,5.84,92.92
resnet50,foodcontainers,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,4.16,95.61
vgg16,foodcontainers,dense,Baseline,None,30,10,19.64,1.08,16.4,20.0,36.51,0.0
vgg16,foodcontainers,dense,tafe,0.0,30,10,19.96,0.12,19.6,20.0,34.21,0.39
vgg16,foodcontainers,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.1,95.31
vgg16,foodcontainers,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.22,97.46
vgg16,foodcontainers,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.43,99.02
vgg16,foodcontainers,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.27,99.8
xception,foodcontainers,dense,Baseline,None,30,10,32.62,9.67,20.0,46.4,182.98,0.0
xception,foodcontainers,dense,tafe,0.0,30,10,37.86,13.8,20.0,55.6,201.66,0.54
xception,foodcontainers,dense,tafe,1e-45,30,10,43.3,10.0,25.8,62.2,127.33,37.99
xception,foodcontainers,dense,tafe,1e-25,30,10,50.36,7.28,33.8,59.2,107.26,48.54
xception,foodcontainers,dense,tafe,1e-15,30,10,48.82,14.01,23.8,70.8,85.47,56.84
xception,foodcontainers,dense,tafe,1e-05,30,10,59.5,8.07,46.0,70.2,39.15,76.37
