Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,largeman-madeoutdoorthings,dense,Baseline,None,30,10,19.92,0.31,19.0,20.2,35.97,0.0
inceptionv3,largeman-madeoutdoorthings,dense,tafe,0.0,30,10,20.36,1.08,20.0,23.6,33.86,4.98
inceptionv3,largeman-madeoutdoorthings,dense,tafe,1e-45,30,10,50.86,5.52,42.2,61.8,5.95,97.27
inceptionv3,largeman-madeoutdoorthings,dense,tafe,1e-25,30,10,46.92,5.78,31.2,52.0,4.91,98.63
inceptionv3,largeman-madeoutdoorthings,dense,tafe,1e-15,30,10,30.84,3.89,20.0,34.0,3.48,99.32
inceptionv3,largeman-madeoutdoorthings,dense,tafe,1e-05,30,10,30.12,5.1,20.0,33.4,2.83,99.85
resnet50,largeman-madeoutdoorthings,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,55.82,0.0
resnet50,largeman-madeoutdoorthings,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,21.65,66.11
resnet50,largeman-madeoutdoorthings,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.31,95.31
resnet50,largeman-madeoutdoorthings,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.9,95.95
resnet50,largeman-madeoutdoorthings,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.5,96.48
resnet50,largeman-madeoutdoorthings,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.73,98.0
vgg16,largeman-madeoutdoorthings,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,34.03,0.0
vgg16,largeman-madeoutdoorthings,dense,tafe,0.0,30,10,19.98,0.06,19.8,20.0,48.48,3.12
vgg16,largeman-madeoutdoorthings,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.57,86.52
vgg16,largeman-madeoutdoorthings,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,15.69,90.23
vgg16,largeman-madeoutdoorthings,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.39,92.19
vgg16,largeman-madeoutdoorthings,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.44,97.27
xception,largeman-madeoutdoorthings,dense,Baseline,None,30,10,24.66,4.39,20.0,30.8,236.45,0.0
xception,largeman-madeoutdoorthings,dense,tafe,0.0,30,10,23.48,5.51,20.0,38.2,167.27,0.59
xception,largeman-madeoutdoorthings,dense,tafe,1e-45,30,10,29.88,8.33,15.4,40.6,170.27,41.85
xception,largeman-madeoutdoorthings,dense,tafe,1e-25,30,10,32.98,8.16,20.0,44.8,122.11,51.61
xception,largeman-madeoutdoorthings,dense,tafe,1e-15,30,10,35.86,7.96,20.2,43.4,72.05,61.08
xception,largeman-madeoutdoorthings,dense,tafe,1e-05,30,10,30.34,10.07,19.6,44.4,30.17,78.42
