Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,trees,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,32.56,0.0
inceptionv3,trees,dense,tafe,0.0,30,10,20.04,0.28,19.6,20.8,33.9,5.37
inceptionv3,trees,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,2.57,98.34
inceptionv3,trees,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,2.36,99.17
inceptionv3,trees,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.17,99.61
inceptionv3,trees,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.93,99.85
vgg16,trees,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,20.65,0.0
vgg16,trees,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,20.79,3.52
vgg16,trees,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.9,87.11
vgg16,trees,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.51,89.65
vgg16,trees,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.09,92.38
vgg16,trees,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.05,98.05
xception,trees,dense,Baseline,None,30,10,21.06,1.85,19.8,25.6,96.82,0.0
xception,trees,dense,tafe,0.0,30,10,20.18,0.49,19.8,21.4,87.87,0.49
xception,trees,dense,tafe,1e-45,30,10,19.76,0.74,17.6,20.4,38.61,51.12
xception,trees,dense,tafe,1e-25,30,10,21.62,2.7,20.0,28.8,32.1,62.21
xception,trees,dense,tafe,1e-15,30,10,21.54,4.62,20.0,35.4,27.41,70.95
xception,trees,dense,tafe,1e-05,30,10,19.68,0.96,16.8,20.0,15.73,84.57
