Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,vehicles1,dense,Baseline,None,30,10,20.66,1.44,20.0,24.6,41.49,0.0
inceptionv3,vehicles1,dense,tafe,0.0,30,10,20.16,0.48,20.0,21.6,40.29,4.88
inceptionv3,vehicles1,dense,tafe,1e-45,30,10,54.86,4.99,47.0,62.2,5.69,96.78
inceptionv3,vehicles1,dense,tafe,1e-25,30,10,52.66,4.92,43.4,58.4,5.03,98.39
inceptionv3,vehicles1,dense,tafe,1e-15,30,10,43.44,7.19,36.0,53.0,4.69,99.12
inceptionv3,vehicles1,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.73,99.95
vgg16,vehicles1,dense,Baseline,None,30,10,19.96,0.12,19.6,20.0,19.88,0.0
vgg16,vehicles1,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,23.29,0.59
vgg16,vehicles1,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.8,92.77
vgg16,vehicles1,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.27,95.51
vgg16,vehicles1,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.81,96.88
vgg16,vehicles1,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.21,99.41
xception,vehicles1,dense,Baseline,None,30,10,31.1,7.28,20.0,46.0,165.32,0.0
xception,vehicles1,dense,tafe,0.0,30,10,27.94,9.9,19.6,47.8,143.47,0.54
xception,vehicles1,dense,tafe,1e-45,30,10,35.6,13.01,16.8,57.4,84.45,41.26
xception,vehicles1,dense,tafe,1e-25,30,10,39.9,6.49,28.4,48.0,89.34,50.49
xception,vehicles1,dense,tafe,1e-15,30,10,33.6,7.85,19.8,46.6,49.16,58.94
xception,vehicles1,dense,tafe,1e-05,30,10,29.0,9.47,20.0,42.6,29.95,77.98
