Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,aquaticmammals,dense,Baseline,None,30,10,37.24,5.22,28.0,45.8,53.71,0.0
inceptionv3,aquaticmammals,dense,tafe,0.0,30,10,45.9,4.86,36.4,52.6,55.55,4.83
inceptionv3,aquaticmammals,dense,tafe,1e-45,30,10,48.2,7.05,30.8,54.2,4.6,96.44
inceptionv3,aquaticmammals,dense,tafe,1e-25,30,10,42.68,4.45,35.2,47.8,3.4,98.14
inceptionv3,aquaticmammals,dense,tafe,1e-15,30,10,39.9,4.29,30.2,45.6,3.02,99.07
inceptionv3,aquaticmammals,dense,tafe,1e-05,30,10,27.72,1.04,26.0,29.4,2.29,99.9
resnet50,aquaticmammals,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,52.02,0.0
resnet50,aquaticmammals,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,19.36,64.45
resnet50,aquaticmammals,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.89,93.26
resnet50,aquaticmammals,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.49,93.99
resnet50,aquaticmammals,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.32,94.29
resnet50,aquaticmammals,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.3,96.29
vgg16,aquaticmammals,dense,Baseline,None,30,10,31.18,8.76,20.0,42.8,33.04,0.0
vgg16,aquaticmammals,dense,tafe,0.0,30,10,34.12,4.55,24.2,39.4,25.42,1.76
vgg16,aquaticmammals,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.22,87.89
vgg16,aquaticmammals,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,2.56,92.77
vgg16,aquaticmammals,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.16,95.9
vgg16,aquaticmammals,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.81,98.44
xception,aquaticmammals,dense,Baseline,None,30,10,50.06,6.78,34.8,59.6,109.19,0.0
xception,aquaticmammals,dense,tafe,0.0,30,10,51.02,8.86,30.0,62.2,97.45,0.39
xception,aquaticmammals,dense,tafe,1e-45,30,10,56.54,4.97,46.6,64.0,81.91,38.23
xception,aquaticmammals,dense,tafe,1e-25,30,10,54.78,6.67,42.2,65.0,58.52,47.61
xception,aquaticmammals,dense,tafe,1e-15,30,10,54.28,8.07,35.8,64.4,55.48,56.45
xception,aquaticmammals,dense,tafe,1e-05,30,10,56.06,6.97,42.4,67.0,31.0,77.15
