Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,fruitandvegetables,dense,Baseline,None,30,10,70.34,9.22,47.2,78.4,48.17,0.0
inceptionv3,fruitandvegetables,dense,tafe,0.0,30,10,66.28,9.76,42.0,79.4,48.72,4.44
inceptionv3,fruitandvegetables,dense,tafe,1e-45,30,10,66.86,4.57,59.6,73.6,5.18,96.39
inceptionv3,fruitandvegetables,dense,tafe,1e-25,30,10,65.96,3.01,61.6,71.2,3.94,97.61
inceptionv3,fruitandvegetables,dense,tafe,1e-15,30,10,64.22,4.16,57.4,70.4,3.86,98.49
inceptionv3,fruitandvegetables,dense,tafe,1e-05,30,10,47.38,2.32,41.4,50.6,2.62,99.71
resnet50,fruitandvegetables,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,49.56,0.0
resnet50,fruitandvegetables,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,18.81,65.53
resnet50,fruitandvegetables,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.17,94.68
resnet50,fruitandvegetables,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.85,95.36
resnet50,fruitandvegetables,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.47,96.04
resnet50,fruitandvegetables,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.63,97.75
vgg16,fruitandvegetables,dense,Baseline,None,30,10,49.28,6.37,38.4,58.6,26.87,0.0
vgg16,fruitandvegetables,dense,tafe,0.0,30,10,48.94,6.31,34.4,59.2,30.33,0.2
vgg16,fruitandvegetables,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,2.65,94.14
vgg16,fruitandvegetables,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,2.12,97.07
vgg16,fruitandvegetables,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,1.97,98.83
vgg16,fruitandvegetables,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.68,99.8
xception,fruitandvegetables,dense,Baseline,None,30,10,75.4,4.14,68.4,81.8,104.83,0.0
xception,fruitandvegetables,dense,tafe,0.0,30,10,72.28,10.53,43.2,82.6,98.18,0.49
xception,fruitandvegetables,dense,tafe,1e-45,30,10,79.72,3.56,70.2,83.4,64.94,40.14
xception,fruitandvegetables,dense,tafe,1e-25,30,10,79.38,3.43,73.6,82.8,51.31,49.56
xception,fruitandvegetables,dense,tafe,1e-15,30,10,78.92,3.03,72.8,82.2,48.52,59.33
xception,fruitandvegetables,dense,tafe,1e-05,30,10,75.48,4.92,68.2,83.6,21.46,78.37
