Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,householdfurniture,dense,Baseline,None,30,10,62.9,6.74,46.8,70.6,67.05,0.0
inceptionv3,householdfurniture,dense,tafe,0.0,30,10,59.0,5.96,52.8,72.4,52.03,4.64
inceptionv3,householdfurniture,dense,tafe,1e-45,30,10,57.32,4.47,48.8,65.8,4.03,96.24
inceptionv3,householdfurniture,dense,tafe,1e-25,30,10,55.14,5.64,44.6,64.2,3.1,98.05
inceptionv3,householdfurniture,dense,tafe,1e-15,30,10,49.26,3.78,42.4,53.6,3.14,99.17
inceptionv3,householdfurniture,dense,tafe,1e-05,30,10,30.22,2.29,23.8,32.6,2.06,99.95
resnet50,householdfurniture,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,53.73,0.0
resnet50,householdfurniture,dense,tafe,0.0,30,10,20.58,1.44,20.0,24.8,28.59,61.43
resnet50,householdfurniture,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,6.52,91.85
resnet50,householdfurniture,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,5.94,92.53
resnet50,householdfurniture,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,5.2,93.55
resnet50,householdfurniture,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.4,96.44
vgg16,householdfurniture,dense,Baseline,None,30,10,43.4,9.99,22.2,58.6,31.53,0.0
vgg16,householdfurniture,dense,tafe,0.0,30,10,42.84,8.29,29.4,57.0,30.39,1.37
vgg16,householdfurniture,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,2.98,90.82
vgg16,householdfurniture,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,2.62,93.55
vgg16,householdfurniture,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.1,96.29
vgg16,householdfurniture,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.71,99.02
xception,householdfurniture,dense,Baseline,None,30,10,64.64,6.61,55.6,75.4,113.77,0.0
xception,householdfurniture,dense,tafe,0.0,30,10,67.96,5.59,53.0,73.2,97.74,0.49
xception,householdfurniture,dense,tafe,1e-45,30,10,68.98,5.33,57.8,75.8,54.9,42.58
xception,householdfurniture,dense,tafe,1e-25,30,10,69.1,6.22,58.2,76.6,50.0,51.9
xception,householdfurniture,dense,tafe,1e-15,30,10,64.9,7.28,49.2,76.8,49.13,60.45
xception,householdfurniture,dense,tafe,1e-05,30,10,70.94,4.94,60.2,76.0,29.92,80.08
