Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,largecarnivores,dense,Baseline,None,30,10,61.54,10.4,43.2,75.6,47.53,0.0
inceptionv3,largecarnivores,dense,tafe,0.0,30,10,60.52,8.34,42.8,75.6,49.26,4.74
inceptionv3,largecarnivores,dense,tafe,1e-45,30,10,58.9,3.28,50.8,63.6,5.0,95.65
inceptionv3,largecarnivores,dense,tafe,1e-25,30,10,52.84,7.89,39.0,64.0,3.86,97.75
inceptionv3,largecarnivores,dense,tafe,1e-15,30,10,48.04,7.55,34.0,57.0,3.64,98.68
inceptionv3,largecarnivores,dense,tafe,1e-05,30,10,27.6,1.8,23.0,29.4,2.16,99.95
resnet50,largecarnivores,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,49.33,0.0
resnet50,largecarnivores,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,21.22,63.28
resnet50,largecarnivores,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,5.86,92.24
resnet50,largecarnivores,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,5.34,92.97
resnet50,largecarnivores,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.89,93.55
resnet50,largecarnivores,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.99,95.12
vgg16,largecarnivores,dense,Baseline,None,30,10,31.1,5.2,22.8,43.0,40.25,0.0
vgg16,largecarnivores,dense,tafe,0.0,30,10,27.36,3.92,22.0,36.2,29.19,1.95
vgg16,largecarnivores,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.98,85.74
vgg16,largecarnivores,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.43,88.09
vgg16,largecarnivores,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.8,92.58
vgg16,largecarnivores,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.14,97.07
xception,largecarnivores,dense,Baseline,None,30,10,67.58,6.9,54.2,75.6,95.61,0.0
xception,largecarnivores,dense,tafe,0.0,30,10,68.04,6.27,53.4,76.0,94.41,0.44
xception,largecarnivores,dense,tafe,1e-45,30,10,66.54,10.46,44.6,76.8,68.33,37.35
xception,largecarnivores,dense,tafe,1e-25,30,10,73.48,3.3,68.4,78.2,60.8,46.48
xception,largecarnivores,dense,tafe,1e-15,30,10,69.1,5.02,60.8,75.0,46.16,54.25
xception,largecarnivores,dense,tafe,1e-05,30,10,70.22,3.22,66.0,76.2,32.04,75.34
