Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,largenaturaloutdoorscenes,dense,Baseline,None,30,10,69.02,8.47,51.2,80.6,45.28,0.0
inceptionv3,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,71.46,7.03,61.2,80.4,40.56,5.37
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,63.12,3.68,58.4,69.4,3.31,98.29
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,62.28,3.58,55.2,67.4,3.19,98.83
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,58.34,3.97,51.6,63.2,2.62,99.32
inceptionv3,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,28.04,1.55,24.4,29.8,1.9,99.9
resnet50,largenaturaloutdoorscenes,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,52.96,0.0
resnet50,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,20.39,67.14
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.84,94.78
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.49,95.36
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.13,96.0
resnet50,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.43,97.31
vgg16,largenaturaloutdoorscenes,dense,Baseline,None,30,10,44.58,6.69,33.8,52.8,32.87,0.0
vgg16,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,48.6,11.28,26.4,63.2,26.42,4.3
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.29,82.03
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.71,86.52
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.29,88.28
vgg16,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.34,95.31
xception,largenaturaloutdoorscenes,dense,Baseline,None,30,10,74.62,6.62,62.8,83.2,95.71,0.0
xception,largenaturaloutdoorscenes,dense,tafe,0.0,30,10,74.1,8.88,50.4,83.4,129.3,0.39
xception,largenaturaloutdoorscenes,dense,tafe,1e-45,30,10,77.32,4.73,71.2,83.8,64.29,46.14
xception,largenaturaloutdoorscenes,dense,tafe,1e-25,30,10,76.46,2.88,70.4,81.6,41.19,57.52
xception,largenaturaloutdoorscenes,dense,tafe,1e-15,30,10,73.8,6.99,61.6,81.6,32.24,67.38
xception,largenaturaloutdoorscenes,dense,tafe,1e-05,30,10,75.54,5.13,61.4,79.6,25.38,83.01
