Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,non-insectinvertebrates,dense,Baseline,None,30,10,69.1,7.19,56.0,79.2,62.53,0.0
inceptionv3,non-insectinvertebrates,dense,tafe,0.0,30,10,64.26,15.09,28.6,80.2,46.41,4.44
inceptionv3,non-insectinvertebrates,dense,tafe,1e-45,30,10,67.1,4.7,54.8,73.2,5.3,96.0
inceptionv3,non-insectinvertebrates,dense,tafe,1e-25,30,10,58.04,4.3,51.6,65.4,3.54,98.1
inceptionv3,non-insectinvertebrates,dense,tafe,1e-15,30,10,55.56,5.21,44.2,62.6,3.94,98.83
inceptionv3,non-insectinvertebrates,dense,tafe,1e-05,30,10,41.74,4.72,33.4,47.8,2.8,99.61
resnet50,non-insectinvertebrates,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,47.97,0.0
resnet50,non-insectinvertebrates,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,19.61,63.62
resnet50,non-insectinvertebrates,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,5.29,92.97
resnet50,non-insectinvertebrates,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.93,93.46
resnet50,non-insectinvertebrates,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.34,94.43
resnet50,non-insectinvertebrates,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.2,96.48
