Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,aquaticmammals,dense,Baseline,None,30,10,52.68,6.49,41.2,63.6,42.66,0.0
inceptionv3,aquaticmammals,dense,tafe,0.0,30,10,52.82,9.85,37.0,69.8,47.46,4.74
inceptionv3,aquaticmammals,dense,tafe,1e-45,30,10,46.32,4.84,37.8,55.0,4.03,96.48
inceptionv3,aquaticmammals,dense,tafe,1e-25,30,10,49.24,2.9,42.0,53.6,3.92,98.14
inceptionv3,aquaticmammals,dense,tafe,1e-15,30,10,42.86,2.43,38.4,45.8,3.24,98.93
inceptionv3,aquaticmammals,dense,tafe,1e-05,30,10,30.2,0.89,29.2,32.0,2.25,99.85
xception,aquaticmammals,dense,Baseline,None,30,10,61.54,5.28,53.6,68.2,153.63,0.0
xception,aquaticmammals,dense,tafe,0.0,30,10,62.66,2.73,58.0,66.0,152.16,0.39
xception,aquaticmammals,dense,tafe,1e-45,30,10,64.88,2.49,60.0,67.8,108.16,38.13
xception,aquaticmammals,dense,tafe,1e-25,30,10,63.7,2.13,60.2,66.8,84.33,48.05
xception,aquaticmammals,dense,tafe,1e-15,30,10,62.06,6.88,47.0,70.0,61.62,57.08
xception,aquaticmammals,dense,tafe,1e-05,30,10,64.68,2.38,59.8,68.0,35.5,77.2
densenet201,aquaticmammals,dense,Baseline,None,30,10,62.4,3.93,54.6,68.2,137.05,0.0
densenet201,aquaticmammals,dense,tafe,0.0,30,10,60.42,6.85,44.0,68.8,133.71,6.56
densenet201,aquaticmammals,dense,tafe,1e-45,30,10,59.26,4.64,50.8,65.4,21.27,89.17
densenet201,aquaticmammals,dense,tafe,1e-25,30,10,60.38,3.88,54.4,66.0,17.53,93.23
densenet201,aquaticmammals,dense,tafe,1e-15,30,10,59.18,1.53,55.8,60.8,14.57,95.57
densenet201,aquaticmammals,dense,tafe,1e-05,30,10,46.52,2.6,42.0,49.2,6.3,98.8
vgg16,aquaticmammals,dense,Baseline,None,30,10,37.96,5.41,26.0,44.2,42.56,0.0
vgg16,aquaticmammals,dense,tafe,0.0,30,10,36.36,6.84,26.2,49.2,33.06,1.37
vgg16,aquaticmammals,dense,tafe,1e-45,30,10,22.6,1.31,20.0,24.2,10.7,88.48
vgg16,aquaticmammals,dense,tafe,1e-25,30,10,20.62,0.55,20.0,21.8,6.7,93.16
vgg16,aquaticmammals,dense,tafe,1e-15,30,10,20.34,0.22,20.0,20.8,4.88,95.7
vgg16,aquaticmammals,dense,tafe,1e-05,30,10,19.98,0.06,19.8,20.0,4.45,98.44
