Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,fish,dense,Baseline,None,30,10,71.98,5.43,63.6,79.4,90.79,0.0
inceptionv3,fish,dense,tafe,0.0,30,10,72.98,2.95,67.6,76.2,87.53,4.79
inceptionv3,fish,dense,tafe,1e-45,30,10,65.2,3.7,55.8,68.4,7.44,96.19
inceptionv3,fish,dense,tafe,1e-25,30,10,58.94,3.41,54.2,64.6,4.78,98.0
inceptionv3,fish,dense,tafe,1e-15,30,10,56.1,2.78,49.4,60.8,4.52,98.93
inceptionv3,fish,dense,tafe,1e-05,30,10,34.36,2.01,31.6,38.0,5.02,99.85
xception,fish,dense,Baseline,None,30,10,77.1,3.02,69.4,80.0,136.3,0.0
xception,fish,dense,tafe,0.0,30,10,73.92,1.68,70.8,76.4,79.96,0.44
xception,fish,dense,tafe,1e-45,30,10,77.36,1.02,75.4,78.8,75.73,38.57
xception,fish,dense,tafe,1e-25,30,10,75.94,2.1,72.4,78.6,57.14,47.17
xception,fish,dense,tafe,1e-15,30,10,76.58,1.29,74.2,78.4,54.65,56.64
xception,fish,dense,tafe,1e-05,30,10,75.9,1.06,73.4,77.4,35.43,75.83
densenet201,fish,dense,Baseline,None,30,10,77.3,5.53,66.0,84.2,117.72,0.0
densenet201,fish,dense,tafe,0.0,30,10,77.6,3.18,72.4,83.0,93.99,6.61
densenet201,fish,dense,tafe,1e-45,30,10,73.68,4.23,65.8,79.4,17.11,88.49
densenet201,fish,dense,tafe,1e-25,30,10,76.0,1.7,72.0,78.0,9.23,93.02
densenet201,fish,dense,tafe,1e-15,30,10,71.44,4.27,61.0,75.8,10.07,95.16
densenet201,fish,dense,tafe,1e-05,30,10,66.04,1.77,61.6,67.6,6.34,98.23
vgg16,fish,dense,Baseline,None,30,10,46.3,10.29,31.4,61.0,27.95,0.0
vgg16,fish,dense,tafe,0.0,30,10,56.58,7.3,45.0,66.8,37.25,1.17
vgg16,fish,dense,tafe,1e-45,30,10,23.98,2.94,20.2,28.6,4.42,89.06
vgg16,fish,dense,tafe,1e-25,30,10,21.48,1.51,20.0,23.6,3.27,93.55
vgg16,fish,dense,tafe,1e-15,30,10,21.04,0.87,20.0,22.0,4.06,95.7
vgg16,fish,dense,tafe,1e-05,30,10,20.48,0.48,19.8,21.2,3.86,99.02
