Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,flowers,dense,Baseline,None,30,10,55.62,8.6,43.0,65.2,57.99,0.0
inceptionv3,flowers,dense,tafe,0.0,30,10,57.14,7.93,39.4,67.0,53.23,4.88
inceptionv3,flowers,dense,tafe,1e-45,30,10,52.56,4.72,42.6,58.2,7.97,97.27
inceptionv3,flowers,dense,tafe,1e-25,30,10,47.76,3.17,39.6,51.0,4.84,98.14
inceptionv3,flowers,dense,tafe,1e-15,30,10,44.92,2.4,38.4,47.6,2.9,99.07
inceptionv3,flowers,dense,tafe,1e-05,30,10,30.38,1.79,26.4,32.8,2.22,99.8
xception,flowers,dense,Baseline,None,30,10,68.02,2.48,64.2,71.6,161.86,0.0
xception,flowers,dense,tafe,0.0,30,10,65.94,3.9,58.2,71.0,140.59,0.39
xception,flowers,dense,tafe,1e-45,30,10,65.76,3.71,56.0,70.0,101.26,41.21
xception,flowers,dense,tafe,1e-25,30,10,68.18,2.19,64.2,71.4,90.36,51.46
xception,flowers,dense,tafe,1e-15,30,10,65.98,3.62,58.6,69.6,61.47,60.94
xception,flowers,dense,tafe,1e-05,30,10,66.14,1.47,63.8,68.6,35.17,79.2
densenet201,flowers,dense,Baseline,None,30,10,71.02,5.98,62.0,78.4,124.87,0.0
densenet201,flowers,dense,tafe,0.0,30,10,72.34,7.65,56.8,80.6,159.62,5.62
densenet201,flowers,dense,tafe,1e-45,30,10,71.14,4.72,60.2,75.8,33.99,86.15
densenet201,flowers,dense,tafe,1e-25,30,10,71.22,3.7,62.8,75.2,21.11,92.19
densenet201,flowers,dense,tafe,1e-15,30,10,68.72,2.52,62.4,71.4,13.94,94.79
densenet201,flowers,dense,tafe,1e-05,30,10,60.72,2.51,55.0,63.6,9.39,98.44
vgg16,flowers,dense,Baseline,None,30,10,47.74,9.79,30.8,62.8,45.21,0.0
vgg16,flowers,dense,tafe,0.0,30,10,49.84,7.93,33.8,60.6,47.48,0.78
vgg16,flowers,dense,tafe,1e-45,30,10,21.82,1.1,20.0,23.6,6.93,93.36
vgg16,flowers,dense,tafe,1e-25,30,10,20.14,0.2,20.0,20.6,5.36,96.88
vgg16,flowers,dense,tafe,1e-15,30,10,20.16,0.2,19.8,20.6,5.55,97.66
vgg16,flowers,dense,tafe,1e-05,30,10,19.98,0.06,19.8,20.0,3.72,99.22
