Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,foodcontainers,dense,Baseline,None,30,10,80.58,3.78,70.4,84.4,79.73,0.0
inceptionv3,foodcontainers,dense,tafe,0.0,30,10,75.92,6.36,59.0,82.8,64.71,4.49
inceptionv3,foodcontainers,dense,tafe,1e-45,30,10,74.76,3.59,69.0,79.8,9.57,96.19
inceptionv3,foodcontainers,dense,tafe,1e-25,30,10,72.48,5.44,60.4,79.6,11.93,98.0
inceptionv3,foodcontainers,dense,tafe,1e-15,30,10,70.5,3.69,64.2,75.8,9.2,98.88
inceptionv3,foodcontainers,dense,tafe,1e-05,30,10,49.04,2.49,44.0,52.6,8.31,99.8
xception,foodcontainers,dense,Baseline,None,30,10,80.16,5.23,68.0,84.8,134.19,0.0
xception,foodcontainers,dense,tafe,0.0,30,10,80.22,3.08,74.8,84.0,131.47,0.54
xception,foodcontainers,dense,tafe,1e-45,30,10,81.88,2.46,76.8,85.8,111.46,38.43
xception,foodcontainers,dense,tafe,1e-25,30,10,81.94,3.47,74.8,86.0,77.66,48.58
xception,foodcontainers,dense,tafe,1e-15,30,10,83.88,1.07,81.8,86.0,69.68,57.47
xception,foodcontainers,dense,tafe,1e-05,30,10,82.44,1.48,80.2,84.8,38.32,76.61
densenet201,foodcontainers,dense,Baseline,None,30,10,80.14,6.34,68.6,86.4,137.05,0.0
densenet201,foodcontainers,dense,tafe,0.0,30,10,80.06,5.48,69.2,85.2,165.8,5.0
densenet201,foodcontainers,dense,tafe,1e-45,30,10,82.16,2.26,77.0,84.6,31.08,87.24
densenet201,foodcontainers,dense,tafe,1e-25,30,10,79.16,4.11,71.0,84.2,20.17,91.77
densenet201,foodcontainers,dense,tafe,1e-15,30,10,80.02,1.39,77.4,82.6,20.39,94.64
densenet201,foodcontainers,dense,tafe,1e-05,30,10,74.14,1.59,71.6,76.6,12.37,98.33
vgg16,foodcontainers,dense,Baseline,None,30,10,52.88,8.24,36.4,63.8,46.69,0.0
vgg16,foodcontainers,dense,tafe,0.0,30,10,56.32,10.51,37.4,68.6,44.48,0.39
vgg16,foodcontainers,dense,tafe,1e-45,30,10,23.14,0.83,21.0,23.8,7.27,95.12
vgg16,foodcontainers,dense,tafe,1e-25,30,10,20.7,0.35,20.2,21.4,5.53,97.66
vgg16,foodcontainers,dense,tafe,1e-15,30,10,20.16,0.2,20.0,20.6,4.66,98.83
vgg16,foodcontainers,dense,tafe,1e-05,30,10,20.14,0.09,20.0,20.2,3.9,99.8
