Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,fruitandvegetables,dense,Baseline,None,30,10,78.7,4.99,69.4,83.2,87.84,0.0
inceptionv3,fruitandvegetables,dense,tafe,0.0,30,10,74.52,6.27,64.2,82.6,82.29,4.35
inceptionv3,fruitandvegetables,dense,tafe,1e-45,30,10,73.64,2.01,69.0,76.4,8.71,96.44
inceptionv3,fruitandvegetables,dense,tafe,1e-25,30,10,69.34,2.1,65.8,72.8,7.34,97.61
inceptionv3,fruitandvegetables,dense,tafe,1e-15,30,10,68.74,3.23,61.4,72.4,6.27,98.54
inceptionv3,fruitandvegetables,dense,tafe,1e-05,30,10,42.46,2.38,38.4,45.2,5.32,99.8
xception,fruitandvegetables,dense,Baseline,None,30,10,81.34,3.6,71.2,84.0,155.56,0.0
xception,fruitandvegetables,dense,tafe,0.0,30,10,81.5,3.07,73.0,83.8,150.79,0.44
xception,fruitandvegetables,dense,tafe,1e-45,30,10,82.4,1.38,80.8,85.2,85.93,39.6
xception,fruitandvegetables,dense,tafe,1e-25,30,10,82.32,3.34,75.8,86.0,76.07,49.46
xception,fruitandvegetables,dense,tafe,1e-15,30,10,82.2,2.81,74.6,85.6,66.51,58.84
xception,fruitandvegetables,dense,tafe,1e-05,30,10,81.0,2.03,77.8,83.8,38.08,77.98
densenet201,fruitandvegetables,dense,Baseline,None,30,10,86.44,0.82,84.4,87.6,152.42,0.0
densenet201,fruitandvegetables,dense,tafe,0.0,30,10,84.0,2.87,77.8,87.6,108.73,4.74
densenet201,fruitandvegetables,dense,tafe,1e-45,30,10,81.14,5.07,71.4,86.2,22.8,86.09
densenet201,fruitandvegetables,dense,tafe,1e-25,30,10,80.78,2.32,77.4,84.4,15.93,92.5
densenet201,fruitandvegetables,dense,tafe,1e-15,30,10,80.44,3.07,72.4,83.8,12.55,95.21
densenet201,fruitandvegetables,dense,tafe,1e-05,30,10,70.96,3.7,61.4,74.8,6.7,98.54
vgg16,fruitandvegetables,dense,Baseline,None,30,10,52.92,8.16,40.8,66.4,44.52,0.0
vgg16,fruitandvegetables,dense,tafe,0.0,30,10,52.42,10.98,28.2,68.4,40.6,0.2
vgg16,fruitandvegetables,dense,tafe,1e-45,30,10,21.82,1.07,20.6,23.6,6.63,94.34
vgg16,fruitandvegetables,dense,tafe,1e-25,30,10,21.9,1.07,20.8,23.8,5.99,96.88
vgg16,fruitandvegetables,dense,tafe,1e-15,30,10,19.9,0.16,19.6,20.0,4.16,98.63
vgg16,fruitandvegetables,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.65,99.41
