Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,householdelectricaldevices,dense,Baseline,None,30,10,86.64,3.14,79.8,90.8,78.45,0.0
inceptionv3,householdelectricaldevices,dense,tafe,0.0,30,10,85.0,6.44,68.2,91.2,76.57,4.25
inceptionv3,householdelectricaldevices,dense,tafe,1e-45,30,10,81.98,2.79,76.0,86.2,8.3,95.7
inceptionv3,householdelectricaldevices,dense,tafe,1e-25,30,10,77.4,4.46,68.6,82.6,6.92,97.56
inceptionv3,householdelectricaldevices,dense,tafe,1e-15,30,10,77.22,2.08,72.0,80.0,5.46,98.78
inceptionv3,householdelectricaldevices,dense,tafe,1e-05,30,10,48.6,2.01,46.2,52.8,4.99,99.8
xception,householdelectricaldevices,dense,Baseline,None,30,10,87.62,3.63,79.6,91.4,145.85,0.0
xception,householdelectricaldevices,dense,tafe,0.0,30,10,87.34,4.8,74.8,91.2,147.74,0.39
xception,householdelectricaldevices,dense,tafe,1e-45,30,10,88.6,2.41,84.6,92.0,84.72,38.13
xception,householdelectricaldevices,dense,tafe,1e-25,30,10,90.14,1.31,87.6,91.8,93.62,46.83
xception,householdelectricaldevices,dense,tafe,1e-15,30,10,88.62,3.13,79.8,90.8,62.28,55.66
xception,householdelectricaldevices,dense,tafe,1e-05,30,10,89.78,1.77,84.8,91.0,42.47,76.56
densenet201,householdelectricaldevices,dense,Baseline,None,30,10,89.96,4.37,77.8,93.4,175.79,0.0
densenet201,householdelectricaldevices,dense,tafe,0.0,30,10,84.22,6.35,70.4,92.0,106.86,4.74
densenet201,householdelectricaldevices,dense,tafe,1e-45,30,10,89.32,1.32,87.0,91.4,26.99,85.73
densenet201,householdelectricaldevices,dense,tafe,1e-25,30,10,87.7,2.13,84.0,90.8,15.04,92.45
densenet201,householdelectricaldevices,dense,tafe,1e-15,30,10,87.7,1.36,85.6,90.2,13.53,95.0
densenet201,householdelectricaldevices,dense,tafe,1e-05,30,10,82.78,1.58,80.8,85.6,8.13,97.97
vgg16,householdelectricaldevices,dense,Baseline,None,30,10,60.44,9.77,41.8,73.2,43.88,0.0
vgg16,householdelectricaldevices,dense,tafe,0.0,30,10,63.6,8.47,51.2,78.0,52.55,0.0
vgg16,householdelectricaldevices,dense,tafe,1e-45,30,10,23.9,2.4,20.0,27.6,7.72,94.53
vgg16,householdelectricaldevices,dense,tafe,1e-25,30,10,21.62,0.8,20.0,22.6,4.51,97.07
vgg16,householdelectricaldevices,dense,tafe,1e-15,30,10,20.34,0.2,20.0,20.6,4.98,98.44
vgg16,householdelectricaldevices,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.84,99.8
