Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,householdfurniture,dense,Baseline,None,30,10,71.68,7.56,56.8,79.6,97.8,0.0
inceptionv3,householdfurniture,dense,tafe,0.0,30,10,67.14,6.31,55.0,79.4,87.62,4.83
inceptionv3,householdfurniture,dense,tafe,1e-45,30,10,65.0,4.38,57.8,70.8,9.2,96.34
inceptionv3,householdfurniture,dense,tafe,1e-25,30,10,62.52,4.1,54.2,66.6,8.15,97.95
inceptionv3,householdfurniture,dense,tafe,1e-15,30,10,51.7,2.63,47.6,55.8,5.21,99.12
inceptionv3,householdfurniture,dense,tafe,1e-05,30,10,37.86,1.9,34.4,39.8,4.32,99.9
xception,householdfurniture,dense,Baseline,None,30,10,74.8,5.38,63.4,80.0,180.79,0.0
xception,householdfurniture,dense,tafe,0.0,30,10,75.88,4.77,63.6,79.6,162.96,0.59
xception,householdfurniture,dense,tafe,1e-45,30,10,74.58,5.26,61.8,79.0,94.69,41.8
xception,householdfurniture,dense,tafe,1e-25,30,10,73.86,4.02,65.4,78.0,84.03,51.95
xception,householdfurniture,dense,tafe,1e-15,30,10,75.22,3.85,65.0,79.0,66.83,60.21
xception,householdfurniture,dense,tafe,1e-05,30,10,75.68,3.86,68.2,79.4,44.95,79.69
densenet201,householdfurniture,dense,Baseline,None,30,10,76.84,6.85,58.2,81.8,146.19,0.0
densenet201,householdfurniture,dense,tafe,0.0,30,10,76.72,5.47,62.8,81.4,154.73,5.94
densenet201,householdfurniture,dense,tafe,1e-45,30,10,74.3,2.87,69.0,78.2,23.8,88.28
densenet201,householdfurniture,dense,tafe,1e-25,30,10,74.56,2.53,69.2,77.2,17.06,93.02
densenet201,householdfurniture,dense,tafe,1e-15,30,10,69.88,4.25,61.2,75.0,9.57,95.73
densenet201,householdfurniture,dense,tafe,1e-05,30,10,59.86,2.84,53.6,62.4,6.98,98.75
vgg16,householdfurniture,dense,Baseline,None,30,10,48.94,6.39,36.8,58.0,44.23,0.0
vgg16,householdfurniture,dense,tafe,0.0,30,10,54.94,6.49,41.6,64.4,41.96,0.39
vgg16,householdfurniture,dense,tafe,1e-45,30,10,23.7,2.26,20.0,26.4,7.59,89.84
vgg16,householdfurniture,dense,tafe,1e-25,30,10,20.9,0.93,20.0,22.0,6.25,94.34
vgg16,householdfurniture,dense,tafe,1e-15,30,10,20.38,0.39,19.8,21.0,6.09,96.68
vgg16,householdfurniture,dense,tafe,1e-05,30,10,19.9,0.1,19.8,20.0,4.41,99.02
