Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,aquaticmammals,pool,Baseline,None,30,10,68.6,0.76,67.8,69.8,8.85,0.0
xception,aquaticmammals,pool,tafe,0.0,30,10,68.0,0.71,67.0,68.8,9.05,0.44
xception,aquaticmammals,pool,tafe,1e-25,30,10,67.92,0.92,66.4,69.2,6.86,47.56
xception,aquaticmammals,pool,tafe,1e-15,30,10,67.48,0.97,65.4,69.0,6.69,56.69
xception,aquaticmammals,pool,tafe,1e-05,30,10,67.14,0.69,66.0,68.2,5.53,77.15
xception,aquaticmammals,pool,tafe,0.01,30,10,63.68,0.53,62.8,64.6,4.87,89.31
inceptionv3,aquaticmammals,pool,Baseline,None,30,10,63.32,1.68,60.4,65.4,8.1,0.0
inceptionv3,aquaticmammals,pool,tafe,0.0,30,10,62.96,1.63,59.2,65.0,8.51,4.74
inceptionv3,aquaticmammals,pool,tafe,1e-25,30,10,44.56,1.0,43.4,46.6,4.55,98.34
inceptionv3,aquaticmammals,pool,tafe,1e-15,30,10,40.92,0.9,39.4,42.4,4.59,98.97
inceptionv3,aquaticmammals,pool,tafe,1e-05,30,10,28.34,0.68,27.4,30.0,4.61,99.85
inceptionv3,aquaticmammals,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.38,100.0
densenet201,aquaticmammals,pool,Baseline,None,30,10,68.8,1.2,65.4,69.8,9.14,0.0
densenet201,aquaticmammals,pool,tafe,0.0,30,10,68.92,1.01,67.4,70.4,8.61,6.46
densenet201,aquaticmammals,pool,tafe,1e-25,30,10,60.98,0.69,60.2,61.8,4.67,93.28
densenet201,aquaticmammals,pool,tafe,1e-15,30,10,58.76,0.78,57.4,59.8,4.43,95.47
densenet201,aquaticmammals,pool,tafe,1e-05,30,10,51.72,0.76,50.4,53.2,4.25,98.7
densenet201,aquaticmammals,pool,tafe,0.01,30,10,43.24,1.17,41.0,44.6,4.17,99.53
resnet50,aquaticmammals,pool,Baseline,None,30,10,24.82,4.68,20.0,35.6,9.28,0.0
resnet50,aquaticmammals,pool,tafe,0.0,30,10,27.8,4.02,22.2,34.0,6.3,66.65
resnet50,aquaticmammals,pool,tafe,1e-25,30,10,20.04,0.22,19.6,20.2,4.41,96.04
resnet50,aquaticmammals,pool,tafe,1e-15,30,10,20.08,0.26,19.6,20.6,4.53,96.39
resnet50,aquaticmammals,pool,tafe,1e-05,30,10,20.0,0.09,19.8,20.2,4.38,98.1
resnet50,aquaticmammals,pool,tafe,0.01,30,10,19.96,0.12,19.8,20.2,4.09,99.41
vgg16,aquaticmammals,pool,Baseline,None,30,10,48.62,1.33,47.0,50.6,5.63,0.0
vgg16,aquaticmammals,pool,tafe,0.0,30,10,49.12,1.15,47.0,51.0,5.74,1.95
vgg16,aquaticmammals,pool,tafe,1e-25,30,10,20.28,0.71,19.2,21.6,4.34,92.38
vgg16,aquaticmammals,pool,tafe,1e-15,30,10,20.12,0.22,19.8,20.6,4.2,96.09
vgg16,aquaticmammals,pool,tafe,1e-05,30,10,19.98,0.14,19.8,20.2,4.16,98.24
vgg16,aquaticmammals,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.92,99.8
