Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,bird,pool,Baseline,None,30,10,52.94,0.9,51.05,54.33,22.62,0.0
inceptionv3,bird,pool,tafe,0.0,30,10,52.7,0.96,50.45,53.68,20.15,0.0
inceptionv3,bird,pool,tafe,1e-45,30,10,54.08,0.48,52.99,54.58,18.4,25.63
inceptionv3,bird,pool,tafe,1e-25,30,10,54.43,0.34,53.9,54.89,17.78,53.47
inceptionv3,bird,pool,tafe,1e-15,30,10,53.59,0.69,52.52,54.76,19.63,66.31
inceptionv3,bird,pool,tafe,1e-05,30,10,50.99,0.31,50.41,51.49,13.37,86.18
inceptionv3,bird,pool,tafe,0.01,30,10,41.36,1.15,38.92,43.05,10.42,95.21
xception,bird,pool,Baseline,None,30,10,54.58,0.46,53.68,55.14,22.5,0.0
xception,bird,pool,tafe,0.0,30,10,54.61,0.58,53.9,55.75,22.41,1.56
xception,bird,pool,tafe,1e-45,30,10,54.66,0.44,53.98,55.57,23.58,8.25
xception,bird,pool,tafe,1e-25,30,10,54.36,0.84,52.95,55.32,20.73,13.13
xception,bird,pool,tafe,1e-15,30,10,54.14,0.9,51.66,55.02,21.24,17.87
xception,bird,pool,tafe,1e-05,30,10,54.8,0.54,53.55,55.36,21.92,31.1
xception,bird,pool,tafe,0.01,30,10,54.7,0.54,53.51,55.32,20.64,46.58
densenet201,bird,pool,Baseline,None,30,10,65.51,0.69,63.67,66.16,20.47,0.0
densenet201,bird,pool,tafe,0.0,30,10,65.76,0.45,65.17,66.55,23.96,0.0
densenet201,bird,pool,tafe,1e-45,30,10,65.19,0.65,64.06,66.29,20.88,17.81
densenet201,bird,pool,tafe,1e-25,30,10,63.99,0.67,62.89,65.22,18.03,34.06
densenet201,bird,pool,tafe,1e-15,30,10,63.0,0.8,61.6,64.1,20.03,47.5
densenet201,bird,pool,tafe,1e-05,30,10,56.07,0.53,55.14,56.78,19.52,75.47
densenet201,bird,pool,tafe,0.01,30,10,39.87,0.77,38.79,41.24,13.32,89.53
vgg16,bird,pool,Baseline,None,30,10,18.24,1.89,13.78,20.45,23.87,0.0
vgg16,bird,pool,tafe,0.0,30,10,18.55,2.04,14.89,21.7,25.19,0.98
vgg16,bird,pool,tafe,1e-45,30,10,13.73,1.57,11.58,15.97,18.64,52.15
vgg16,bird,pool,tafe,1e-25,30,10,11.44,0.73,9.81,12.14,13.55,67.77
vgg16,bird,pool,tafe,1e-15,30,10,9.95,0.98,8.05,10.93,10.33,77.54
vgg16,bird,pool,tafe,1e-05,30,10,6.42,0.52,5.42,7.32,9.66,92.38
vgg16,bird,pool,tafe,0.01,30,10,2.53,0.55,1.51,3.4,6.61,97.46
