Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,dog,pool,Baseline,None,30,10,78.06,0.5,77.06,78.88,16.34,0.0
inceptionv3,dog,pool,tafe,0.0,30,10,78.39,0.39,77.53,78.81,17.15,0.0
inceptionv3,dog,pool,tafe,1e-45,30,10,77.92,0.51,77.14,78.54,13.79,4.2
inceptionv3,dog,pool,tafe,1e-25,30,10,78.4,0.41,77.6,79.13,16.36,12.11
inceptionv3,dog,pool,tafe,1e-15,30,10,78.35,0.43,77.63,78.93,16.51,20.9
inceptionv3,dog,pool,tafe,1e-05,30,10,79.54,0.34,79.05,79.94,13.3,68.55
inceptionv3,dog,pool,tafe,0.01,30,10,77.53,0.24,77.06,77.97,13.43,87.35
xception,dog,pool,Baseline,None,30,10,79.35,0.26,79.0,79.76,18.32,0.0
xception,dog,pool,tafe,0.0,30,10,79.48,0.15,79.13,79.69,16.55,0.83
xception,dog,pool,tafe,1e-45,30,10,79.54,0.28,79.1,80.11,17.0,0.88
xception,dog,pool,tafe,1e-25,30,10,79.35,0.21,78.9,79.64,18.56,2.64
xception,dog,pool,tafe,1e-15,30,10,79.4,0.34,78.83,79.89,17.99,6.69
xception,dog,pool,tafe,1e-05,30,10,79.75,0.33,79.08,80.21,17.97,20.8
xception,dog,pool,tafe,0.01,30,10,79.8,0.22,79.42,80.03,15.48,37.4
densenet201,dog,pool,Baseline,None,30,10,79.82,0.37,79.1,80.6,25.14,0.0
densenet201,dog,pool,tafe,0.0,30,10,80.02,0.36,79.15,80.45,26.75,0.0
densenet201,dog,pool,tafe,1e-45,30,10,79.71,0.44,78.93,80.33,23.99,26.67
densenet201,dog,pool,tafe,1e-25,30,10,79.22,0.31,78.78,79.79,23.99,40.68
densenet201,dog,pool,tafe,1e-15,30,10,78.49,0.35,77.65,78.98,22.4,53.49
densenet201,dog,pool,tafe,1e-05,30,10,75.42,0.28,74.8,75.86,18.03,77.81
densenet201,dog,pool,tafe,0.01,30,10,65.96,0.28,65.37,66.23,18.73,89.9
vgg16,dog,pool,Baseline,None,30,10,28.15,1.3,25.15,29.69,45.46,0.0
vgg16,dog,pool,tafe,0.0,30,10,27.58,1.3,25.39,29.47,45.29,0.0
vgg16,dog,pool,tafe,1e-45,30,10,19.87,1.46,15.99,21.39,37.57,36.52
vgg16,dog,pool,tafe,1e-25,30,10,17.12,1.11,15.13,18.27,28.67,52.15
vgg16,dog,pool,tafe,1e-15,30,10,14.44,1.03,11.89,16.09,24.02,64.84
vgg16,dog,pool,tafe,1e-05,30,10,8.52,0.72,7.29,9.63,17.59,87.7
vgg16,dog,pool,tafe,0.01,30,10,4.1,0.15,3.9,4.42,13.82,96.48
