Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,fish,pool,Baseline,None,30,10,78.32,0.49,77.8,79.6,8.54,0.0
xception,fish,pool,tafe,0.0,30,10,78.28,0.61,77.2,79.0,8.39,0.49
xception,fish,pool,tafe,1e-25,30,10,78.12,0.66,76.6,79.0,7.14,47.31
xception,fish,pool,tafe,1e-15,30,10,77.84,0.57,76.6,78.6,6.86,56.74
xception,fish,pool,tafe,1e-05,30,10,78.28,0.5,77.6,79.4,6.0,75.49
xception,fish,pool,tafe,0.01,30,10,73.7,0.39,73.2,74.2,4.96,89.16
inceptionv3,fish,pool,Baseline,None,30,10,74.84,1.13,73.2,77.2,7.78,0.0
inceptionv3,fish,pool,tafe,0.0,30,10,73.84,1.83,70.6,76.8,7.64,4.79
inceptionv3,fish,pool,tafe,1e-25,30,10,60.22,0.51,59.0,61.0,4.44,98.05
inceptionv3,fish,pool,tafe,1e-15,30,10,55.96,0.68,54.8,57.4,4.34,98.93
inceptionv3,fish,pool,tafe,1e-05,30,10,39.22,1.12,37.8,41.6,4.32,99.85
inceptionv3,fish,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.26,100.0
densenet201,fish,pool,Baseline,None,30,10,81.16,0.88,79.2,82.2,8.31,0.0
densenet201,fish,pool,tafe,0.0,30,10,80.6,0.96,79.0,81.8,8.09,6.56
densenet201,fish,pool,tafe,1e-25,30,10,74.46,0.55,73.2,75.2,4.72,93.02
densenet201,fish,pool,tafe,1e-15,30,10,72.16,0.92,70.4,73.6,4.47,95.21
densenet201,fish,pool,tafe,1e-05,30,10,60.66,0.34,60.0,61.2,4.45,98.23
densenet201,fish,pool,tafe,0.01,30,10,41.26,0.72,39.8,42.2,4.3,99.43
resnet50,fish,pool,Baseline,None,30,10,28.8,5.89,20.0,38.2,8.77,0.0
resnet50,fish,pool,tafe,0.0,30,10,32.46,6.56,20.2,41.6,6.54,65.28
resnet50,fish,pool,tafe,1e-25,30,10,20.1,0.26,19.8,20.8,4.65,94.29
resnet50,fish,pool,tafe,1e-15,30,10,20.0,0.15,19.6,20.2,4.56,94.97
resnet50,fish,pool,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,4.51,96.48
resnet50,fish,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.4,98.93
vgg16,fish,pool,Baseline,None,30,10,61.38,1.16,59.0,63.0,5.94,0.0
vgg16,fish,pool,tafe,0.0,30,10,61.42,1.26,58.8,62.8,5.87,0.98
vgg16,fish,pool,tafe,1e-25,30,10,20.94,0.83,20.0,22.6,4.45,93.16
vgg16,fish,pool,tafe,1e-15,30,10,20.22,0.7,19.0,21.4,4.37,96.29
vgg16,fish,pool,tafe,1e-05,30,10,20.1,0.18,19.8,20.4,4.31,98.83
vgg16,fish,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.17,100.0
