Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,flowers,pool,Baseline,None,30,10,60.74,4.75,48.8,65.6,2.17,0.0
inceptionv3,flowers,pool,tafe,0.0,30,10,64.22,1.96,61.8,68.2,2.53,4.64
inceptionv3,flowers,pool,tafe,1e-45,30,10,51.2,1.26,49.0,53.2,2.55,97.22
inceptionv3,flowers,pool,tafe,1e-25,30,10,47.46,2.1,42.6,50.4,2.58,98.24
inceptionv3,flowers,pool,tafe,1e-15,30,10,42.0,2.18,35.6,43.2,2.46,98.97
inceptionv3,flowers,pool,tafe,1e-05,30,10,23.6,2.7,18.2,27.0,1.44,99.8
xception,flowers,pool,Baseline,None,30,10,72.46,1.42,70.4,74.6,3.21,0.0
xception,flowers,pool,tafe,0.0,30,10,72.7,1.44,70.2,74.2,3.27,0.44
xception,flowers,pool,tafe,1e-45,30,10,71.74,1.34,70.0,73.6,2.89,41.36
xception,flowers,pool,tafe,1e-25,30,10,70.44,1.43,67.6,72.0,2.62,51.37
xception,flowers,pool,tafe,1e-15,30,10,70.62,1.24,68.4,72.4,2.49,60.01
xception,flowers,pool,tafe,1e-05,30,10,68.74,1.11,66.2,70.8,2.54,79.0
densenet201,flowers,pool,Baseline,None,30,10,77.46,1.78,74.8,80.0,2.88,0.0
densenet201,flowers,pool,tafe,0.0,30,10,77.5,2.22,74.2,80.4,2.98,5.78
densenet201,flowers,pool,tafe,1e-45,30,10,74.5,0.89,72.8,75.8,2.06,86.46
densenet201,flowers,pool,tafe,1e-25,30,10,70.7,1.11,68.8,72.8,2.04,92.24
densenet201,flowers,pool,tafe,1e-15,30,10,69.34,0.89,68.0,70.8,2.28,94.95
densenet201,flowers,pool,tafe,1e-05,30,10,57.56,0.99,56.2,59.0,2.52,98.33
vgg16,flowers,pool,Baseline,None,30,10,50.22,4.05,44.0,57.0,1.91,0.0
vgg16,flowers,pool,tafe,0.0,30,10,52.98,4.57,42.4,58.0,2.03,0.39
vgg16,flowers,pool,tafe,1e-45,30,10,19.82,0.98,18.6,22.0,0.93,92.77
vgg16,flowers,pool,tafe,1e-25,30,10,19.88,0.18,19.6,20.2,0.84,95.9
vgg16,flowers,pool,tafe,1e-15,30,10,19.94,0.22,19.4,20.2,0.85,97.27
vgg16,flowers,pool,tafe,1e-05,30,10,19.96,0.15,19.8,20.2,0.83,99.02
resnet50,flowers,pool,Baseline,None,30,10,29.36,5.14,21.2,38.0,8.8,0.0
resnet50,flowers,pool,tafe,0.0,30,10,28.66,2.35,26.4,33.8,6.62,66.7
resnet50,flowers,pool,tafe,1e-25,30,10,20.22,0.33,19.8,21.0,4.52,96.53
resnet50,flowers,pool,tafe,1e-15,30,10,19.94,0.16,19.6,20.2,4.57,97.07
resnet50,flowers,pool,tafe,1e-05,30,10,20.08,0.1,20.0,20.2,4.46,98.54
resnet50,flowers,pool,tafe,0.01,30,10,20.04,0.15,19.8,20.4,4.4,99.56

