Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,foodcontainers,pool,Baseline,None,30,10,85.24,0.66,84.0,86.6,9.08,0.0
xception,foodcontainers,pool,tafe,0.0,30,10,85.64,0.5,84.6,86.4,9.32,0.49
xception,foodcontainers,pool,tafe,1e-25,30,10,84.96,0.4,84.4,85.6,6.78,48.83
xception,foodcontainers,pool,tafe,1e-15,30,10,85.34,0.37,84.6,86.2,6.51,57.13
xception,foodcontainers,pool,tafe,1e-05,30,10,85.38,0.44,84.6,86.2,5.46,76.22
xception,foodcontainers,pool,tafe,0.01,30,10,82.6,0.73,81.8,84.0,4.59,90.09
inceptionv3,foodcontainers,pool,Baseline,None,30,10,83.38,0.99,81.2,84.4,7.34,0.0
inceptionv3,foodcontainers,pool,tafe,0.0,30,10,82.98,1.23,79.8,84.2,7.83,4.44
inceptionv3,foodcontainers,pool,tafe,1e-25,30,10,72.5,1.09,70.0,73.6,4.24,97.95
inceptionv3,foodcontainers,pool,tafe,1e-15,30,10,64.32,0.74,63.0,65.2,4.12,98.88
inceptionv3,foodcontainers,pool,tafe,1e-05,30,10,38.36,0.54,37.2,39.0,4.03,99.9
inceptionv3,foodcontainers,pool,tafe,0.01,30,10,30.42,0.61,29.4,31.4,3.97,99.95
densenet201,foodcontainers,pool,Baseline,None,30,10,84.12,1.13,81.6,85.4,8.96,0.0
densenet201,foodcontainers,pool,tafe,0.0,30,10,84.56,0.52,83.4,85.0,9.21,5.16
densenet201,foodcontainers,pool,tafe,1e-25,30,10,81.52,0.63,80.2,82.6,4.66,91.61
densenet201,foodcontainers,pool,tafe,1e-15,30,10,78.64,0.71,77.6,79.6,4.52,94.48
densenet201,foodcontainers,pool,tafe,1e-05,30,10,71.6,0.55,71.0,72.8,4.28,98.12
densenet201,foodcontainers,pool,tafe,0.01,30,10,55.96,0.81,54.6,57.2,4.17,99.43
resnet50,foodcontainers,pool,Baseline,None,30,10,31.58,3.35,27.6,39.0,9.65,0.0
resnet50,foodcontainers,pool,tafe,0.0,30,10,34.64,4.48,28.8,44.6,6.66,61.62
resnet50,foodcontainers,pool,tafe,1e-25,30,10,20.18,0.32,19.6,20.6,4.64,92.38
resnet50,foodcontainers,pool,tafe,1e-15,30,10,19.98,0.36,19.2,20.4,4.62,93.12
resnet50,foodcontainers,pool,tafe,1e-05,30,10,20.14,0.16,19.8,20.4,4.47,95.9
resnet50,foodcontainers,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.27,98.24
vgg16,foodcontainers,pool,Baseline,None,30,10,68.08,1.11,66.4,69.6,6.1,0.0
vgg16,foodcontainers,pool,tafe,0.0,30,10,67.48,1.46,65.2,70.0,6.02,0.0
vgg16,foodcontainers,pool,tafe,1e-25,30,10,20.04,0.29,19.4,20.6,4.48,97.46
vgg16,foodcontainers,pool,tafe,1e-15,30,10,20.14,0.36,19.6,20.8,4.4,98.63
vgg16,foodcontainers,pool,tafe,1e-05,30,10,19.98,0.06,19.8,20.0,4.32,99.61
vgg16,foodcontainers,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.3,100.0
