Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,fruitandvegetables,pool,Baseline,None,30,10,84.4,0.48,83.6,85.2,8.72,0.0
xception,fruitandvegetables,pool,tafe,0.0,30,10,84.84,0.45,83.8,85.6,8.46,0.49
xception,fruitandvegetables,pool,tafe,1e-25,30,10,85.74,0.63,84.4,87.0,7.3,49.66
xception,fruitandvegetables,pool,tafe,1e-15,30,10,86.02,0.64,85.0,87.0,7.02,59.08
xception,fruitandvegetables,pool,tafe,1e-05,30,10,85.8,0.54,84.8,86.6,5.84,78.76
xception,fruitandvegetables,pool,tafe,0.01,30,10,80.8,0.32,80.2,81.2,4.92,90.53
inceptionv3,fruitandvegetables,pool,Baseline,None,30,10,83.46,1.26,80.8,85.0,8.23,0.0
inceptionv3,fruitandvegetables,pool,tafe,0.0,30,10,83.54,1.39,80.4,85.4,8.17,4.39
inceptionv3,fruitandvegetables,pool,tafe,1e-25,30,10,72.48,0.86,71.0,73.6,4.59,97.61
inceptionv3,fruitandvegetables,pool,tafe,1e-15,30,10,67.96,0.96,66.0,69.2,4.54,98.54
inceptionv3,fruitandvegetables,pool,tafe,1e-05,30,10,43.06,0.91,41.4,44.4,4.36,99.76
inceptionv3,fruitandvegetables,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.41,100.0
densenet201,fruitandvegetables,pool,Baseline,None,30,10,89.32,0.54,88.4,90.4,8.71,0.0
densenet201,fruitandvegetables,pool,tafe,0.0,30,10,89.38,0.53,88.2,90.0,8.79,4.64
densenet201,fruitandvegetables,pool,tafe,1e-25,30,10,84.56,0.6,83.6,85.6,4.71,92.08
densenet201,fruitandvegetables,pool,tafe,1e-15,30,10,82.04,0.5,81.2,82.8,4.72,95.16
densenet201,fruitandvegetables,pool,tafe,1e-05,30,10,72.08,0.47,71.2,73.0,4.46,98.59
densenet201,fruitandvegetables,pool,tafe,0.01,30,10,55.66,0.64,54.8,56.4,4.39,99.69
resnet50,fruitandvegetables,pool,Baseline,None,30,10,32.88,8.08,20.2,43.4,8.7,0.0
resnet50,fruitandvegetables,pool,tafe,0.0,30,10,34.64,4.93,25.4,39.2,6.55,65.28
resnet50,fruitandvegetables,pool,tafe,1e-25,30,10,20.2,0.36,19.8,20.8,4.7,95.12
resnet50,fruitandvegetables,pool,tafe,1e-15,30,10,20.02,0.32,19.6,20.8,4.62,95.85
resnet50,fruitandvegetables,pool,tafe,1e-05,30,10,19.94,0.13,19.8,20.2,4.48,97.27
resnet50,fruitandvegetables,pool,tafe,0.01,30,10,19.98,0.06,19.8,20.0,4.41,99.12
vgg16,fruitandvegetables,pool,Baseline,None,30,10,65.62,0.77,64.4,66.8,5.97,0.0
vgg16,fruitandvegetables,pool,tafe,0.0,30,10,65.46,0.56,64.6,66.4,5.88,0.59
vgg16,fruitandvegetables,pool,tafe,1e-25,30,10,20.72,0.91,19.6,22.6,4.44,97.07
vgg16,fruitandvegetables,pool,tafe,1e-15,30,10,19.98,0.44,19.2,20.6,4.34,98.44
vgg16,fruitandvegetables,pool,tafe,1e-05,30,10,20.02,0.06,20.0,20.2,4.44,99.8
vgg16,fruitandvegetables,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.24,100.0
