Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,householdelectricaldevices,pool,Baseline,None,30,10,91.5,0.37,90.8,92.0,8.74,0.0
xception,householdelectricaldevices,pool,tafe,0.0,30,10,91.14,0.64,89.8,92.0,8.53,0.39
xception,householdelectricaldevices,pool,tafe,1e-25,30,10,91.22,0.32,90.6,91.6,7.25,47.22
xception,householdelectricaldevices,pool,tafe,1e-15,30,10,91.0,0.24,90.6,91.2,7.14,55.96
xception,householdelectricaldevices,pool,tafe,1e-05,30,10,89.7,0.3,89.0,90.0,5.93,76.27
xception,householdelectricaldevices,pool,tafe,0.01,30,10,87.58,0.34,87.0,88.2,4.83,89.99
inceptionv3,householdelectricaldevices,pool,Baseline,None,30,10,90.7,0.49,89.6,91.4,7.95,0.0
inceptionv3,householdelectricaldevices,pool,tafe,0.0,30,10,90.26,1.11,87.4,91.2,8.2,4.25
inceptionv3,householdelectricaldevices,pool,tafe,1e-25,30,10,79.5,0.31,79.0,80.0,4.47,97.8
inceptionv3,householdelectricaldevices,pool,tafe,1e-15,30,10,74.62,0.59,73.8,75.6,4.39,98.78
inceptionv3,householdelectricaldevices,pool,tafe,1e-05,30,10,36.24,0.86,34.8,37.6,4.35,99.85
inceptionv3,householdelectricaldevices,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.23,100.0
densenet201,householdelectricaldevices,pool,Baseline,None,30,10,92.34,0.49,91.4,93.2,8.75,0.0
densenet201,householdelectricaldevices,pool,tafe,0.0,30,10,92.42,0.53,91.4,93.2,8.65,4.84
densenet201,householdelectricaldevices,pool,tafe,1e-25,30,10,88.86,0.57,87.8,89.8,4.66,92.34
densenet201,householdelectricaldevices,pool,tafe,1e-15,30,10,85.04,0.32,84.6,85.6,4.59,95.0
densenet201,householdelectricaldevices,pool,tafe,1e-05,30,10,74.68,0.72,73.6,75.8,4.43,98.18
densenet201,householdelectricaldevices,pool,tafe,0.01,30,10,61.8,0.73,60.4,62.6,4.4,99.27
resnet50,householdelectricaldevices,pool,Baseline,None,30,10,30.38,3.82,25.8,37.8,8.57,0.0
resnet50,householdelectricaldevices,pool,tafe,0.0,30,10,31.16,5.46,20.4,39.4,6.92,60.06
resnet50,householdelectricaldevices,pool,tafe,1e-25,30,10,20.78,0.4,20.2,21.8,4.76,91.55
resnet50,householdelectricaldevices,pool,tafe,1e-15,30,10,20.62,0.55,19.8,21.8,4.74,92.77
resnet50,householdelectricaldevices,pool,tafe,1e-05,30,10,20.3,0.3,20.0,20.8,4.55,95.65
resnet50,householdelectricaldevices,pool,tafe,0.01,30,10,20.12,0.16,19.8,20.4,4.45,98.39
vgg16,householdelectricaldevices,pool,Baseline,None,30,10,70.62,0.55,69.8,71.6,6.13,0.0
vgg16,householdelectricaldevices,pool,tafe,0.0,30,10,70.38,0.42,69.8,71.0,6.13,0.2
vgg16,householdelectricaldevices,pool,tafe,1e-25,30,10,21.0,1.02,19.6,23.0,4.49,96.48
vgg16,householdelectricaldevices,pool,tafe,1e-15,30,10,20.26,0.45,19.6,21.0,4.48,97.85
vgg16,householdelectricaldevices,pool,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,4.33,99.8
vgg16,householdelectricaldevices,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.25,100.0
