Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,householdfurniture,pool,Baseline,None,30,10,36.0,2.5,33.2,40.4,8.91,0.0
resnet50,householdfurniture,pool,tafe,0.0,30,10,37.22,3.54,29.4,42.8,6.75,60.99
resnet50,householdfurniture,pool,tafe,1e-25,30,10,22.32,1.15,19.6,23.8,4.8,92.14
resnet50,householdfurniture,pool,tafe,1e-15,30,10,20.34,0.63,19.0,21.0,4.7,93.36
resnet50,householdfurniture,pool,tafe,1e-05,30,10,20.04,0.33,19.4,20.4,4.57,96.09
resnet50,householdfurniture,pool,tafe,0.01,30,10,20.0,0.15,19.6,20.2,4.51,98.54
inceptionv3,householdfurniture,pool,Baseline,None,30,10,67.92,3.68,61.4,72.4,2.3,0.0
inceptionv3,householdfurniture,pool,tafe,0.0,30,10,69.64,3.73,63.4,76.2,2.4,4.74
inceptionv3,householdfurniture,pool,tafe,1e-45,30,10,62.44,1.41,59.8,64.6,2.26,96.34
inceptionv3,householdfurniture,pool,tafe,1e-25,30,10,58.54,0.69,57.6,59.8,2.5,97.95
inceptionv3,householdfurniture,pool,tafe,1e-15,30,10,48.52,1.76,45.2,51.8,2.47,99.17
inceptionv3,householdfurniture,pool,tafe,1e-05,30,10,19.5,5.83,13.2,30.4,1.16,99.95
xception,householdfurniture,pool,Baseline,None,30,10,77.7,0.98,76.0,79.0,2.67,0.0
xception,householdfurniture,pool,tafe,0.0,30,10,77.82,1.4,74.8,79.0,2.89,0.54
xception,householdfurniture,pool,tafe,1e-45,30,10,77.1,1.18,74.8,78.8,2.65,41.94
xception,householdfurniture,pool,tafe,1e-25,30,10,77.38,0.86,76.0,78.6,2.36,52.0
xception,householdfurniture,pool,tafe,1e-15,30,10,77.2,1.17,75.4,79.0,2.42,60.6
xception,householdfurniture,pool,tafe,1e-05,30,10,72.46,0.89,71.0,74.2,1.99,79.69
densenet201,householdfurniture,pool,Baseline,None,30,10,79.08,1.12,77.4,81.0,3.37,0.0
densenet201,householdfurniture,pool,tafe,0.0,30,10,79.32,0.69,78.4,80.8,3.58,6.09
densenet201,householdfurniture,pool,tafe,1e-45,30,10,74.24,0.84,72.4,75.4,2.29,88.33
densenet201,householdfurniture,pool,tafe,1e-25,30,10,71.2,0.89,69.8,72.6,2.24,92.97
densenet201,householdfurniture,pool,tafe,1e-15,30,10,68.02,1.08,66.0,69.6,2.72,95.73
densenet201,householdfurniture,pool,tafe,1e-05,30,10,53.98,2.16,48.8,56.4,2.68,98.7
vgg16,householdfurniture,pool,Baseline,None,30,10,49.9,3.72,43.4,56.4,2.17,0.0
vgg16,householdfurniture,pool,tafe,0.0,30,10,51.0,2.08,47.6,54.8,2.22,0.98
vgg16,householdfurniture,pool,tafe,1e-45,30,10,20.04,1.42,18.0,23.0,1.16,91.41
vgg16,householdfurniture,pool,tafe,1e-25,30,10,19.84,1.2,17.0,21.2,1.2,93.95
vgg16,householdfurniture,pool,tafe,1e-15,30,10,19.86,0.41,19.0,20.6,1.07,96.48
vgg16,householdfurniture,pool,tafe,1e-05,30,10,20.08,0.13,20.0,20.4,1.0,98.44
