Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,insects,pool,Baseline,None,30,10,82.52,1.07,80.8,84.4,8.82,0.0
xception,insects,pool,tafe,0.0,30,10,82.92,0.71,81.6,84.0,8.75,0.49
xception,insects,pool,tafe,1e-25,30,10,82.52,0.83,81.0,83.6,7.55,45.61
xception,insects,pool,tafe,1e-15,30,10,81.88,0.42,81.2,82.8,7.09,53.42
xception,insects,pool,tafe,1e-05,30,10,81.8,0.56,81.0,82.8,6.17,74.37
xception,insects,pool,tafe,0.01,30,10,77.6,0.46,76.8,78.4,4.88,90.33
inceptionv3,insects,pool,Baseline,None,30,10,77.58,1.25,74.8,79.2,8.12,0.0
inceptionv3,insects,pool,tafe,0.0,30,10,76.84,0.88,75.0,77.8,8.18,4.39
inceptionv3,insects,pool,tafe,1e-25,30,10,55.92,0.7,55.0,57.6,4.53,97.85
inceptionv3,insects,pool,tafe,1e-15,30,10,49.28,0.41,48.6,50.0,4.48,98.73
inceptionv3,insects,pool,tafe,1e-05,30,10,35.5,0.92,34.2,36.8,4.43,99.71
inceptionv3,insects,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.35,100.0
densenet201,insects,pool,Baseline,None,30,10,83.56,0.67,82.4,84.4,8.81,0.0
densenet201,insects,pool,tafe,0.0,30,10,83.82,0.56,82.8,84.6,8.58,6.04
densenet201,insects,pool,tafe,1e-25,30,10,79.9,1.14,77.8,81.4,4.87,91.98
densenet201,insects,pool,tafe,1e-15,30,10,76.68,0.42,76.0,77.6,4.73,94.27
densenet201,insects,pool,tafe,1e-05,30,10,65.22,0.76,64.0,66.4,4.59,98.02
densenet201,insects,pool,tafe,0.01,30,10,50.5,0.38,49.8,51.0,4.35,99.48
resnet50,insects,pool,Baseline,None,30,10,33.98,7.78,21.2,44.6,8.56,0.0
resnet50,insects,pool,tafe,0.0,30,10,32.36,5.99,24.0,43.6,6.58,64.21
resnet50,insects,pool,tafe,1e-25,30,10,20.34,0.52,19.6,21.4,4.59,94.43
resnet50,insects,pool,tafe,1e-15,30,10,20.02,0.06,20.0,20.2,4.51,94.87
resnet50,insects,pool,tafe,1e-05,30,10,20.02,0.24,19.4,20.4,4.5,96.88
resnet50,insects,pool,tafe,0.01,30,10,19.98,0.06,19.8,20.0,4.37,99.12
vgg16,insects,pool,Baseline,None,30,10,62.24,1.07,60.8,63.8,5.9,0.0
vgg16,insects,pool,tafe,0.0,30,10,62.74,0.9,60.6,63.8,6.07,0.39
vgg16,insects,pool,tafe,1e-25,30,10,20.34,0.52,19.2,21.2,4.35,95.9
vgg16,insects,pool,tafe,1e-15,30,10,20.02,0.34,19.4,20.6,4.37,97.27
vgg16,insects,pool,tafe,1e-05,30,10,20.02,0.06,20.0,20.2,4.25,98.83
vgg16,insects,pool,tafe,0.01,30,10,19.98,0.06,19.8,20.0,4.2,99.8
