Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,largecarnivores,pool,Baseline,None,30,10,70.82,5.02,61.4,76.2,3.04,0.0
inceptionv3,largecarnivores,pool,tafe,0.0,30,10,71.64,4.46,62.0,76.0,2.52,4.54
inceptionv3,largecarnivores,pool,tafe,1e-45,30,10,64.96,1.74,60.4,66.8,2.8,95.61
inceptionv3,largecarnivores,pool,tafe,1e-25,30,10,58.72,2.12,54.0,61.6,3.14,97.75
inceptionv3,largecarnivores,pool,tafe,1e-15,30,10,50.92,1.47,48.4,53.2,2.9,98.78
inceptionv3,largecarnivores,pool,tafe,1e-05,30,10,23.7,3.45,18.6,29.4,1.58,99.95
xception,largecarnivores,pool,Baseline,None,30,10,79.4,1.44,76.6,81.4,3.72,0.0
xception,largecarnivores,pool,tafe,0.0,30,10,80.18,0.84,78.6,81.4,4.05,0.44
xception,largecarnivores,pool,tafe,1e-45,30,10,79.4,1.41,75.8,80.8,3.27,37.6
xception,largecarnivores,pool,tafe,1e-25,30,10,79.84,0.74,78.8,81.0,3.46,46.34
xception,largecarnivores,pool,tafe,1e-15,30,10,79.6,1.31,76.6,81.2,3.42,54.59
xception,largecarnivores,pool,tafe,1e-05,30,10,76.2,1.02,74.2,77.6,2.12,75.63
densenet201,largecarnivores,pool,Baseline,None,30,10,77.06,2.15,74.2,80.8,2.59,0.0
densenet201,largecarnivores,pool,tafe,0.0,30,10,79.0,1.6,76.2,81.0,2.76,6.2
densenet201,largecarnivores,pool,tafe,1e-45,30,10,72.48,0.97,70.8,73.6,1.99,89.01
densenet201,largecarnivores,pool,tafe,1e-25,30,10,68.64,1.03,66.4,70.0,2.03,93.85
densenet201,largecarnivores,pool,tafe,1e-15,30,10,62.8,1.48,60.4,64.6,2.16,96.2
densenet201,largecarnivores,pool,tafe,1e-05,30,10,47.04,1.07,44.4,48.8,2.18,98.65
vgg16,largecarnivores,pool,Baseline,None,30,10,39.0,4.65,32.8,45.6,2.65,0.0
vgg16,largecarnivores,pool,tafe,0.0,30,10,40.16,3.94,33.8,47.2,2.75,2.54
vgg16,largecarnivores,pool,tafe,1e-45,30,10,20.32,0.47,19.6,21.2,1.4,86.13
vgg16,largecarnivores,pool,tafe,1e-25,30,10,19.54,0.65,17.8,20.4,1.3,89.65
vgg16,largecarnivores,pool,tafe,1e-15,30,10,19.94,0.22,19.6,20.2,1.22,93.16
vgg16,largecarnivores,pool,tafe,1e-05,30,10,20.0,0.18,19.6,20.2,1.31,97.85
resnet50,largecarnivores,pool,Baseline,None,30,10,25.32,4.82,20.4,36.2,8.71,0.0
resnet50,largecarnivores,pool,tafe,0.0,30,10,28.02,2.63,22.2,31.8,6.48,65.43
resnet50,largecarnivores,pool,tafe,1e-25,30,10,20.24,0.47,19.6,21.4,4.6,95.26
resnet50,largecarnivores,pool,tafe,1e-15,30,10,20.18,0.26,19.8,20.6,4.57,95.9
resnet50,largecarnivores,pool,tafe,1e-05,30,10,20.02,0.11,19.8,20.2,4.58,97.46
resnet50,largecarnivores,pool,tafe,0.01,30,10,20.1,0.13,20.0,20.4,4.41,98.97
